-1 1:0 2:0 3:0 4:0 5:5 #0
-1 1:0 2:0 3:0 4:0 5:5 #6
-1 1:0 2:0 3:0 4:0 5:5 #12
-1 1:0 2:0 3:0 4:0 5:5 #18
-1 1:0 2:0 3:0 4:0 5:3 #24
#-1 1:0 2:0 3:0 4:0 5:0 #30
#-1 1:0 2:0 3:0 4:0 5:0 #36
-1 1:0 2:0 3:0 4:0 5:9 #42
#-1 1:0 2:0 3:0 4:0 5:0 #48
#-1 1:0 2:0 3:0 4:0 5:0 #54
-1 1:0 2:0 3:0 4:0 5:5 #60
#-1 1:0 2:0 3:0 4:0 5:0 #66
-1 1:0 2:1 3:6 4:0 5:0 #72
-1 1:0 2:8 3:39 4:0 5:0 #78
-1 1:0 2:0 3:2 4:0 5:0 #84
#-1 1:0 2:0 3:0 4:0 5:0 #90
#-1 1:0 2:0 3:0 4:0 5:0 #96
#-1 1:0 2:0 3:0 4:0 5:0 #102
#-1 1:0 2:0 3:0 4:0 5:0 #108
#-1 1:0 2:0 3:0 4:0 5:0 #114
#-1 1:0 2:0 3:0 4:0 5:0 #120
#-1 1:0 2:0 3:0 4:0 5:0 #126
#-1 1:0 2:0 3:0 4:0 5:0 #132
#-1 1:0 2:0 3:0 4:0 5:0 #138
#-1 1:0 2:0 3:0 4:0 5:0 #144
#-1 1:0 2:0 3:0 4:0 5:0 #150
#-1 1:0 2:0 3:0 4:0 5:0 #156
-1 1:0 2:0 3:0 4:0 5:1 #162
#-1 1:0 2:0 3:0 4:0 5:0 #168
#-1 1:0 2:0 3:0 4:0 5:0 #174
#-1 1:0 2:0 3:0 4:0 5:0 #180
#-1 1:0 2:0 3:0 4:0 5:0 #186
#-1 1:0 2:0 3:0 4:0 5:0 #192
#-1 1:0 2:0 3:0 4:0 5:0 #198
-1 1:0 2:0 3:0 4:0 5:1 #204
#-1 1:0 2:0 3:0 4:0 5:0 #210
#-1 1:0 2:0 3:0 4:0 5:0 #216
#-1 1:0 2:0 3:0 4:0 5:0 #222
#-1 1:0 2:0 3:0 4:0 5:0 #228
#-1 1:0 2:0 3:0 4:0 5:0 #234
-1 1:0 2:0 3:0 4:0 5:1 #240
#-1 1:0 2:0 3:0 4:0 5:0 #246
#-1 1:0 2:0 3:0 4:0 5:0 #252
#-1 1:0 2:0 3:0 4:0 5:0 #258
#-1 1:0 2:0 3:0 4:0 5:0 #264
-1 1:0 2:0 3:0 4:0 5:1 #270
#-1 1:0 2:0 3:0 4:0 5:0 #276
#-1 1:0 2:0 3:0 4:0 5:0 #282
#-1 1:0 2:0 3:0 4:0 5:0 #288
#-1 1:0 2:0 3:0 4:0 5:0 #294
#-1 1:0 2:0 3:0 4:0 5:0 #300
#-1 1:0 2:0 3:0 4:0 5:0 #306
#-1 1:0 2:0 3:0 4:0 5:0 #312
-1 1:0 2:0 3:0 4:0 5:1 #318
#-1 1:0 2:0 3:0 4:0 5:0 #324
-1 1:0 2:0 3:0 4:0 5:3 #330
#-1 1:0 2:0 3:0 4:0 5:0 #336
#-1 1:0 2:0 3:0 4:0 5:0 #342
#-1 1:0 2:0 3:0 4:0 5:0 #348
#-1 1:0 2:0 3:0 4:0 5:0 #354
#-1 1:0 2:0 3:0 4:0 5:0 #360
-1 1:0 2:0 3:0 4:0 5:1 #366
#-1 1:0 2:0 3:0 4:0 5:0 #372
#-1 1:0 2:0 3:0 4:0 5:0 #378
#-1 1:0 2:0 3:0 4:0 5:0 #384
-1 1:0 2:0 3:0 4:0 5:1 #390
-1 1:0 2:0 3:0 4:0 5:1 #396
#-1 1:0 2:0 3:0 4:0 5:0 #402
#-1 1:0 2:0 3:0 4:0 5:0 #408
-1 1:0 2:0 3:0 4:0 5:1 #414
-1 1:0 2:0 3:0 4:0 5:1 #420
#-1 1:0 2:0 3:0 4:0 5:0 #426
#-1 1:0 2:0 3:0 4:0 5:0 #432
#-1 1:0 2:0 3:0 4:0 5:0 #438
#-1 1:0 2:0 3:0 4:0 5:0 #444
#-1 1:0 2:0 3:0 4:0 5:0 #450
#-1 1:0 2:0 3:0 4:0 5:0 #456
#-1 1:0 2:0 3:0 4:0 5:0 #462
#-1 1:0 2:0 3:0 4:0 5:0 #468
#-1 1:0 2:0 3:0 4:0 5:0 #474
#-1 1:0 2:0 3:0 4:0 5:0 #480
#-1 1:0 2:0 3:0 4:0 5:0 #486
#-1 1:0 2:0 3:0 4:0 5:0 #492
#-1 1:0 2:0 3:0 4:0 5:0 #498
#-1 1:0 2:0 3:0 4:0 5:0 #504
-1 1:0 2:0 3:0 4:0 5:1 #510
#-1 1:0 2:0 3:0 4:0 5:0 #516
#-1 1:0 2:0 3:0 4:0 5:0 #522
-1 1:0 2:0 3:0 4:0 5:1 #528
-1 1:0 2:0 3:0 4:0 5:1 #534
-1 1:0 2:0 3:0 4:0 5:1 #540
-1 1:0 2:0 3:0 4:0 5:2 #546
#-1 1:0 2:0 3:0 4:0 5:0 #552
#-1 1:0 2:0 3:0 4:0 5:0 #558
#-1 1:0 2:0 3:0 4:0 5:0 #564
#-1 1:0 2:0 3:0 4:0 5:0 #570
+1 1:0 2:1 3:16 4:0 5:0 #576
+1 1:0 2:0 3:37 4:1 5:0 #582
+1 1:0 2:3 3:26 4:0 5:0 #588
+1 1:0 2:3 3:6 4:1 5:0 #594
+1 1:3 2:7 3:69 4:1 5:0 #600
+1 1:4 2:39 3:169 4:0 5:0 #606
+1 1:7 2:22 3:166 4:0 5:0 #612
+1 1:0 2:19 3:178 4:0 5:0 #618
+1 1:1 2:10 3:40 4:1 5:9 #624
+1 1:7 2:15 3:135 4:3 5:1 #630
+1 1:12 2:12 3:123 4:0 5:0 #636
+1 1:2 2:27 3:132 4:0 5:0 #642
+1 1:6 2:52 3:102 4:1 5:1 #648
+1 1:0 2:9 3:24 4:0 5:0 #654
+1 1:0 2:3 3:15 4:0 5:0 #660
+1 1:1 2:11 3:34 4:0 5:0 #666
+1 1:0 2:5 3:43 4:1 5:0 #672
+1 1:0 2:7 3:81 4:0 5:0 #678
+1 1:0 2:4 3:29 4:0 5:0 #684
+1 1:3 2:8 3:30 4:1 5:0 #690
+1 1:1 2:15 3:67 4:0 5:0 #696
+1 1:1 2:12 3:97 4:0 5:0 #702
+1 1:5 2:5 3:29 4:2 5:0 #708
+1 1:0 2:2 3:11 4:0 5:0 #714
+1 1:1 2:34 3:126 4:1 5:0 #720
+1 1:0 2:20 3:100 4:0 5:0 #726
+1 1:1 2:16 3:204 4:0 5:0 #732
+1 1:0 2:18 3:172 4:0 5:0 #738
#-1 1:0 2:0 3:0 4:0 5:0 #744
#-1 1:0 2:0 3:0 4:0 5:0 #750
-1 1:0 2:0 3:0 4:0 5:1 #756
-1 1:0 2:0 3:0 4:0 5:4 #762
-1 1:0 2:0 3:0 4:0 5:10 #768
#-1 1:0 2:0 3:0 4:0 5:0 #774
-1 1:0 2:0 3:0 4:0 5:6 #780
-1 1:0 2:0 3:0 4:0 5:14 #786
-1 1:0 2:0 3:0 4:0 5:3 #792
-1 1:0 2:0 3:0 4:0 5:9 #798
#-1 1:0 2:0 3:0 4:0 5:0 #804
#-1 1:0 2:0 3:0 4:0 5:0 #810
-1 1:0 2:0 3:0 4:0 5:6 #816
-1 1:0 2:0 3:0 4:0 5:3 #822
-1 1:0 2:0 3:0 4:3 5:6 #828
#-1 1:0 2:0 3:0 4:0 5:0 #834
-1 1:0 2:0 3:0 4:0 5:8 #840
-1 1:0 2:0 3:0 4:0 5:6 #846
-1 1:0 2:0 3:0 4:3 5:8 #852
-1 1:0 2:0 3:1 4:5 5:6 #858
#-1 1:0 2:0 3:0 4:0 5:0 #864
-1 1:0 2:0 3:3 4:0 5:14 #870
-1 1:0 2:0 3:0 4:0 5:19 #876
-1 1:0 2:0 3:0 4:1 5:25 #882
-1 1:0 2:0 3:9 4:1 5:6 #888
#-1 1:0 2:0 3:0 4:0 5:0 #894
-1 1:1 2:0 3:0 4:1 5:1 #900
-1 1:0 2:0 3:0 4:3 5:13 #906
-1 1:0 2:0 3:0 4:0 5:8 #912
-1 1:0 2:0 3:9 4:0 5:11 #918
-1 1:0 2:0 3:0 4:0 5:1 #924
-1 1:0 2:0 3:0 4:3 5:5 #930
-1 1:0 2:0 3:0 4:3 5:10 #936
-1 1:0 2:0 3:2 4:3 5:12 #942
-1 1:0 2:0 3:3 4:0 5:6 #948
-1 1:0 2:0 3:0 4:0 5:11 #954
-1 1:0 2:0 3:0 4:0 5:1 #960
-1 1:0 2:0 3:0 4:0 5:6 #966
-1 1:0 2:0 3:0 4:0 5:6 #972
-1 1:0 2:0 3:0 4:0 5:7 #978
-1 1:0 2:0 3:0 4:0 5:3 #984
-1 1:0 2:0 3:0 4:0 5:8 #990
-1 1:0 2:0 3:0 4:0 5:12 #996
-1 1:1 2:0 3:0 4:4 5:4 #1002
-1 1:0 2:0 3:0 4:0 5:5 #1008
-1 1:0 2:0 3:0 4:0 5:7 #1014
-1 1:0 2:0 3:0 4:0 5:8 #1020
-1 1:0 2:0 3:0 4:0 5:4 #1026
-1 1:0 2:0 3:0 4:0 5:6 #1032
#-1 1:0 2:0 3:0 4:0 5:0 #1038
-1 1:0 2:0 3:0 4:0 5:10 #1044
-1 1:0 2:0 3:0 4:0 5:9 #1050
#-1 1:0 2:0 3:0 4:0 5:0 #1056
-1 1:0 2:0 3:0 4:0 5:7 #1062
-1 1:0 2:0 3:0 4:0 5:2 #1068
-1 1:0 2:0 3:0 4:0 5:2 #1074
-1 1:0 2:0 3:0 4:0 5:4 #1080
-1 1:0 2:0 3:0 4:0 5:1 #1086
-1 1:0 2:0 3:0 4:0 5:3 #1092
-1 1:0 2:0 3:2 4:0 5:7 #1098
#-1 1:0 2:0 3:0 4:0 5:0 #1104
-1 1:0 2:0 3:0 4:0 5:1 #1110
#-1 1:0 2:0 3:0 4:0 5:0 #1116
-1 1:0 2:0 3:0 4:4 5:3 #1122
-1 1:0 2:0 3:0 4:0 5:15 #1128
-1 1:0 2:0 3:2 4:6 5:1 #1134
-1 1:0 2:0 3:1 4:0 5:4 #1140
-1 1:0 2:0 3:0 4:0 5:8 #1146
-1 1:0 2:2 3:1 4:0 5:3 #1152
-1 1:0 2:0 3:0 4:0 5:7 #1158
-1 1:0 2:0 3:0 4:0 5:4 #1164
-1 1:0 2:0 3:0 4:0 5:3 #1170
#-1 1:0 2:0 3:0 4:0 5:0 #1176
-1 1:0 2:0 3:0 4:0 5:6 #1182
-1 1:0 2:0 3:0 4:0 5:7 #1188
-1 1:0 2:0 3:0 4:0 5:6 #1194
-1 1:0 2:0 3:0 4:0 5:5 #1200
-1 1:0 2:0 3:0 4:0 5:5 #1206
#-1 1:0 2:0 3:0 4:0 5:0 #1212
-1 1:0 2:0 3:0 4:0 5:5 #1218
-1 1:0 2:0 3:0 4:0 5:1 #1224
-1 1:0 2:1 3:0 4:0 5:0 #1230
-1 1:0 2:0 3:0 4:4 5:2 #1236
-1 1:0 2:0 3:2 4:0 5:4 #1242
-1 1:0 2:0 3:0 4:0 5:2 #1248
#-1 1:0 2:0 3:0 4:0 5:0 #1254
-1 1:0 2:0 3:0 4:0 5:1 #1260
#-1 1:0 2:0 3:0 4:0 5:0 #1266
-1 1:0 2:0 3:0 4:0 5:1 #1272
#-1 1:0 2:0 3:0 4:0 5:0 #1278
-1 1:0 2:0 3:0 4:0 5:8 #1284
#-1 1:0 2:0 3:0 4:0 5:0 #1290
#-1 1:0 2:0 3:0 4:0 5:0 #1296
#-1 1:0 2:0 3:0 4:0 5:0 #1302
#-1 1:0 2:0 3:0 4:0 5:0 #1308
#-1 1:0 2:0 3:0 4:0 5:0 #1314
#-1 1:0 2:0 3:0 4:0 5:0 #1320
-1 1:0 2:0 3:0 4:0 5:2 #1326
#-1 1:0 2:0 3:0 4:0 5:0 #1332
#-1 1:0 2:0 3:0 4:0 5:0 #1338
#-1 1:0 2:0 3:0 4:0 5:0 #1344
#-1 1:0 2:0 3:0 4:0 5:0 #1350
#-1 1:0 2:0 3:0 4:0 5:0 #1356
#-1 1:0 2:0 3:0 4:0 5:0 #1362
#-1 1:0 2:0 3:0 4:0 5:0 #1368
#-1 1:0 2:0 3:0 4:0 5:0 #1374
#-1 1:0 2:0 3:0 4:0 5:0 #1380
#-1 1:0 2:0 3:0 4:0 5:0 #1386
#-1 1:0 2:0 3:0 4:0 5:0 #1392
#-1 1:0 2:0 3:0 4:0 5:0 #1398
#-1 1:0 2:0 3:0 4:0 5:0 #1404
#-1 1:0 2:0 3:0 4:0 5:0 #1410
#-1 1:0 2:0 3:0 4:0 5:0 #1416
-1 1:0 2:1 3:0 4:0 5:0 #1422
-1 1:0 2:0 3:0 4:1 5:0 #1428
#-1 1:0 2:0 3:0 4:0 5:0 #1434
#-1 1:0 2:0 3:0 4:0 5:0 #1440
-1 1:0 2:0 3:0 4:0 5:1 #1446
-1 1:0 2:0 3:1 4:1 5:0 #1452
-1 1:0 2:0 3:0 4:0 5:3 #1458
-1 1:0 2:0 3:3 4:0 5:2 #1464
-1 1:0 2:0 3:0 4:0 5:3 #1470
-1 1:0 2:0 3:1 4:1 5:0 #1476
-1 1:0 2:0 3:0 4:0 5:1 #1482
#-1 1:0 2:0 3:0 4:0 5:0 #1488
-1 1:0 2:0 3:0 4:0 5:1 #1494
-1 1:0 2:0 3:0 4:0 5:1 #1500
-1 1:0 2:0 3:3 4:0 5:0 #1506
#-1 1:0 2:0 3:0 4:0 5:0 #1512
#-1 1:0 2:0 3:0 4:0 5:0 #1518
-1 1:0 2:0 3:0 4:0 5:4 #1524
-1 1:0 2:0 3:3 4:0 5:6 #1530
-1 1:1 2:0 3:0 4:1 5:3 #1536
-1 1:0 2:0 3:0 4:1 5:2 #1542
-1 1:0 2:0 3:0 4:1 5:0 #1548
-1 1:0 2:0 3:0 4:0 5:3 #1554
-1 1:0 2:0 3:0 4:0 5:3 #1560
-1 1:0 2:0 3:2 4:0 5:1 #1566
#-1 1:0 2:0 3:0 4:0 5:0 #1572
#-1 1:0 2:0 3:0 4:0 5:0 #1578
-1 1:0 2:0 3:0 4:0 5:1 #1584
#-1 1:0 2:0 3:0 4:0 5:0 #1590
#-1 1:0 2:0 3:0 4:0 5:0 #1596
#-1 1:0 2:0 3:0 4:0 5:0 #1602
#-1 1:0 2:0 3:0 4:0 5:0 #1608
-1 1:0 2:0 3:0 4:0 5:1 #1614
#-1 1:0 2:0 3:0 4:0 5:0 #1620
#-1 1:0 2:0 3:0 4:0 5:0 #1626
-1 1:0 2:0 3:0 4:1 5:0 #1632
#-1 1:0 2:0 3:0 4:0 5:0 #1638
-1 1:0 2:0 3:0 4:0 5:1 #1644
#-1 1:0 2:0 3:0 4:0 5:0 #1650
#-1 1:0 2:0 3:0 4:0 5:0 #1656
#-1 1:0 2:0 3:0 4:0 5:0 #1662
#-1 1:0 2:0 3:0 4:0 5:0 #1668
#-1 1:0 2:0 3:0 4:0 5:0 #1674
#-1 1:0 2:0 3:0 4:0 5:0 #1680
#-1 1:0 2:0 3:0 4:0 5:0 #1686
#-1 1:0 2:0 3:0 4:0 5:0 #1692
#-1 1:0 2:0 3:0 4:0 5:0 #1698
#-1 1:0 2:0 3:0 4:0 5:0 #1704
#-1 1:0 2:0 3:0 4:0 5:0 #1710
#-1 1:0 2:0 3:0 4:0 5:0 #1716
#-1 1:0 2:0 3:0 4:0 5:0 #1722
#-1 1:0 2:0 3:0 4:0 5:0 #1728
#-1 1:0 2:0 3:0 4:0 5:0 #1734
#-1 1:0 2:0 3:0 4:0 5:0 #1740
#-1 1:0 2:0 3:0 4:0 5:0 #1746
#-1 1:0 2:0 3:0 4:0 5:0 #1752
#-1 1:0 2:0 3:0 4:0 5:0 #1758
#-1 1:0 2:0 3:0 4:0 5:0 #1764
#-1 1:0 2:0 3:0 4:0 5:0 #1770
#-1 1:0 2:0 3:0 4:0 5:0 #1776
#-1 1:0 2:0 3:0 4:0 5:0 #1782
#-1 1:0 2:0 3:0 4:0 5:0 #1788
#-1 1:0 2:0 3:0 4:0 5:0 #1794
#-1 1:0 2:0 3:0 4:0 5:0 #1800
#-1 1:0 2:0 3:0 4:0 5:0 #1806
-1 1:0 2:0 3:0 4:0 5:1 #1812
#-1 1:0 2:0 3:0 4:0 5:0 #1818
#-1 1:0 2:0 3:0 4:0 5:0 #1824
#-1 1:0 2:0 3:0 4:0 5:0 #1830
#-1 1:0 2:0 3:0 4:0 5:0 #1836
#-1 1:0 2:0 3:0 4:0 5:0 #1842
#-1 1:0 2:0 3:0 4:0 5:0 #1848
#-1 1:0 2:0 3:0 4:0 5:0 #1854
#-1 1:0 2:0 3:0 4:0 5:0 #1860
#-1 1:0 2:0 3:0 4:0 5:0 #1866
#-1 1:0 2:0 3:0 4:0 5:0 #1872
-1 1:0 2:0 3:0 4:0 5:1 #1878
#-1 1:0 2:0 3:0 4:0 5:0 #1884
#-1 1:0 2:0 3:0 4:0 5:0 #1890
#-1 1:0 2:0 3:0 4:0 5:0 #1896
#-1 1:0 2:0 3:0 4:0 5:0 #1902
#-1 1:0 2:0 3:0 4:0 5:0 #1908
#-1 1:0 2:0 3:0 4:0 5:0 #1914
#-1 1:0 2:0 3:0 4:0 5:0 #1920
#-1 1:0 2:0 3:0 4:0 5:0 #1926
#-1 1:0 2:0 3:0 4:0 5:0 #1932
#-1 1:0 2:0 3:0 4:0 5:0 #1938
#-1 1:0 2:0 3:0 4:0 5:0 #1944
#-1 1:0 2:0 3:0 4:0 5:0 #1950
#-1 1:0 2:0 3:0 4:0 5:0 #1956
#-1 1:0 2:0 3:0 4:0 5:0 #1962
#-1 1:0 2:0 3:0 4:0 5:0 #1968
#-1 1:0 2:0 3:0 4:0 5:0 #1974
#-1 1:0 2:0 3:0 4:0 5:0 #1980
#-1 1:0 2:0 3:0 4:0 5:0 #1986
#-1 1:0 2:0 3:0 4:0 5:0 #1992
#-1 1:0 2:0 3:0 4:0 5:0 #1998
#-1 1:0 2:0 3:0 4:0 5:0 #2004
#-1 1:0 2:0 3:0 4:0 5:0 #2010
#-1 1:0 2:0 3:0 4:0 5:0 #2016
#-1 1:0 2:0 3:0 4:0 5:0 #2022
#-1 1:0 2:0 3:0 4:0 5:0 #2028
#-1 1:0 2:0 3:0 4:0 5:0 #2034
#-1 1:0 2:0 3:0 4:0 5:0 #2040
#-1 1:0 2:0 3:0 4:0 5:0 #2046
#-1 1:0 2:0 3:0 4:0 5:0 #2052
#-1 1:0 2:0 3:0 4:0 5:0 #2058
-1 1:0 2:0 3:1 4:0 5:0 #2064
#-1 1:0 2:0 3:0 4:0 5:0 #2070
-1 1:1 2:0 3:0 4:0 5:0 #2076
-1 1:0 2:0 3:4 4:1 5:0 #2082
-1 1:0 2:4 3:0 4:3 5:0 #2088
-1 1:0 2:0 3:1 4:0 5:0 #2094
