-1 1:0 2:0 3:0 4:0 5:5 #0
-1 1:0 2:0 3:0 4:0 5:7 #6
-1 1:0 2:0 3:0 4:0 5:13 #12
-1 1:1 2:0 3:0 4:0 5:10 #18
-1 1:1 2:0 3:0 4:0 5:8 #24
-1 1:0 2:0 3:0 4:0 5:2 #30
-1 1:2 2:0 3:0 4:0 5:0 #36
-1 1:0 2:0 3:0 4:0 5:3 #42
#-1 1:0 2:0 3:0 4:0 5:0 #48
#-1 1:0 2:0 3:0 4:0 5:0 #54
-1 1:0 2:0 3:0 4:0 5:6 #60
-1 1:1 2:0 3:0 4:0 5:0 #66
-1 1:32 2:2 3:2 4:0 5:0 #72
-1 1:15 2:18 3:19 4:0 5:0 #78
-1 1:0 2:0 3:3 4:0 5:2 #84
#-1 1:0 2:0 3:0 4:0 5:0 #90
#-1 1:0 2:0 3:0 4:0 5:0 #96
#-1 1:0 2:0 3:0 4:0 5:0 #102
-1 1:1 2:0 3:0 4:0 5:1 #108
#-1 1:0 2:0 3:0 4:0 5:0 #114
#-1 1:0 2:0 3:0 4:0 5:0 #120
#-1 1:0 2:0 3:0 4:0 5:0 #126
#-1 1:0 2:0 3:0 4:0 5:0 #132
#-1 1:0 2:0 3:0 4:0 5:0 #138
#-1 1:0 2:0 3:0 4:0 5:0 #144
#-1 1:0 2:0 3:0 4:0 5:0 #150
#-1 1:0 2:0 3:0 4:0 5:0 #156
#-1 1:0 2:0 3:0 4:0 5:0 #162
#-1 1:0 2:0 3:0 4:0 5:0 #168
#-1 1:0 2:0 3:0 4:0 5:0 #174
-1 1:1 2:0 3:0 4:0 5:0 #180
#-1 1:0 2:0 3:0 4:0 5:0 #186
#-1 1:0 2:0 3:0 4:0 5:0 #192
#-1 1:0 2:0 3:0 4:0 5:0 #198
#-1 1:0 2:0 3:0 4:0 5:0 #204
#-1 1:0 2:0 3:0 4:0 5:0 #210
-1 1:1 2:0 3:0 4:0 5:0 #216
-1 1:7 2:0 3:0 4:0 5:0 #222
#-1 1:0 2:0 3:0 4:0 5:0 #228
#-1 1:0 2:0 3:0 4:0 5:0 #234
#-1 1:0 2:0 3:0 4:0 5:0 #240
#-1 1:0 2:0 3:0 4:0 5:0 #246
#-1 1:0 2:0 3:0 4:0 5:0 #252
-1 1:1 2:0 3:0 4:0 5:0 #258
#-1 1:0 2:0 3:0 4:0 5:0 #264
#-1 1:0 2:0 3:0 4:0 5:0 #270
#-1 1:0 2:0 3:0 4:0 5:0 #276
#-1 1:0 2:0 3:0 4:0 5:0 #282
-1 1:1 2:0 3:0 4:0 5:0 #288
#-1 1:0 2:0 3:0 4:0 5:0 #294
#-1 1:0 2:0 3:0 4:0 5:0 #300
#-1 1:0 2:0 3:0 4:0 5:0 #306
#-1 1:0 2:0 3:0 4:0 5:0 #312
#-1 1:0 2:0 3:0 4:0 5:0 #318
#-1 1:0 2:0 3:0 4:0 5:0 #324
#-1 1:0 2:0 3:0 4:0 5:0 #330
#-1 1:0 2:0 3:0 4:0 5:0 #336
#-1 1:0 2:0 3:0 4:0 5:0 #342
#-1 1:0 2:0 3:0 4:0 5:0 #348
-1 1:3 2:0 3:0 4:0 5:0 #354
#-1 1:0 2:0 3:0 4:0 5:0 #360
#-1 1:0 2:0 3:0 4:0 5:0 #366
-1 1:2 2:0 3:0 4:0 5:0 #372
-1 1:3 2:0 3:0 4:0 5:0 #378
-1 1:2 2:0 3:0 4:0 5:0 #384
#-1 1:0 2:0 3:0 4:0 5:0 #390
#-1 1:0 2:0 3:0 4:0 5:0 #396
#-1 1:0 2:0 3:0 4:0 5:0 #402
#-1 1:0 2:0 3:0 4:0 5:0 #408
#-1 1:0 2:0 3:0 4:0 5:0 #414
#-1 1:0 2:0 3:0 4:0 5:0 #420
#-1 1:0 2:0 3:0 4:0 5:0 #426
#-1 1:0 2:0 3:0 4:0 5:0 #432
#-1 1:0 2:0 3:0 4:0 5:0 #438
#-1 1:0 2:0 3:0 4:0 5:0 #444
-1 1:1 2:0 3:0 4:0 5:0 #450
#-1 1:0 2:0 3:0 4:0 5:0 #456
#-1 1:0 2:0 3:0 4:0 5:0 #462
#-1 1:0 2:0 3:0 4:0 5:0 #468
#-1 1:0 2:0 3:0 4:0 5:0 #474
#-1 1:0 2:0 3:0 4:0 5:0 #480
#-1 1:0 2:0 3:0 4:0 5:0 #486
-1 1:0 2:0 3:0 4:0 5:1 #492
#-1 1:0 2:0 3:0 4:0 5:0 #498
-1 1:0 2:0 3:0 4:0 5:1 #504
#-1 1:0 2:0 3:0 4:0 5:0 #510
#-1 1:0 2:0 3:0 4:0 5:0 #516
#-1 1:0 2:0 3:0 4:0 5:0 #522
#-1 1:0 2:0 3:0 4:0 5:0 #528
#-1 1:0 2:0 3:0 4:0 5:0 #534
#-1 1:0 2:0 3:0 4:0 5:0 #540
#-1 1:0 2:0 3:0 4:0 5:0 #546
#-1 1:0 2:0 3:0 4:0 5:0 #552
#-1 1:0 2:0 3:0 4:0 5:0 #558
#-1 1:0 2:0 3:0 4:0 5:0 #564
-1 1:8 2:0 3:0 4:0 5:1 #570
-1 1:14 2:20 3:13 4:0 5:0 #576
+1 1:54 2:9 3:12 4:1 5:0 #582
+1 1:53 2:19 3:13 4:0 5:0 #588
#+1 1:12 2:3 3:4 4:0 5:0 #594
+1 1:189 2:61 3:29 4:2 5:0 #600
+1 1:278 2:135 3:71 4:0 5:1 #606
+1 1:255 2:93 3:95 4:0 5:0 #612
+1 1:218 2:117 3:85 4:0 5:0 #618
+1 1:29 2:28 3:26 4:0 5:0 #624
+1 1:135 2:68 3:83 4:2 5:0 #630
+1 1:169 2:91 3:60 4:0 5:0 #636
+1 1:107 2:77 3:96 4:0 5:0 #642
+1 1:106 2:68 3:68 4:1 5:1 #648
+1 1:12 2:9 3:19 4:0 5:0 #654
#+1 1:5 2:9 3:5 4:0 5:0 #660
+1 1:53 2:20 3:18 4:0 5:0 #666
+1 1:43 2:18 3:37 4:1 5:0 #672
+1 1:68 2:64 3:46 4:0 5:0 #678
#+1 1:11 2:17 3:25 4:0 5:1 #684
+1 1:38 2:16 3:19 4:0 5:0 #690
+1 1:54 2:53 3:35 4:0 5:3 #696
+1 1:50 2:47 3:39 4:3 5:0 #702
+1 1:33 2:34 3:30 4:1 5:0 #708
#+1 1:13 2:5 3:5 4:0 5:0 #714
+1 1:78 2:65 3:49 4:3 5:0 #720
+1 1:62 2:69 3:49 4:0 5:0 #726
+1 1:182 2:123 3:115 4:0 5:0 #732
+1 1:16 2:73 3:125 4:0 5:7 #738
-1 1:2 2:0 3:0 4:0 5:0 #744
#-1 1:0 2:0 3:0 4:0 5:0 #750
-1 1:1 2:0 3:0 4:0 5:3 #756
-1 1:2 2:0 3:0 4:1 5:7 #762
-1 1:0 2:0 3:1 4:0 5:15 #768
#-1 1:0 2:0 3:0 4:0 5:0 #774
-1 1:0 2:0 3:0 4:0 5:11 #780
-1 1:1 2:0 3:0 4:0 5:13 #786
-1 1:0 2:0 3:0 4:0 5:7 #792
-1 1:0 2:0 3:0 4:0 5:7 #798
-1 1:1 2:0 3:0 4:0 5:1 #804
-1 1:0 2:0 3:0 4:0 5:1 #810
-1 1:0 2:0 3:0 4:0 5:10 #816
-1 1:0 2:0 3:0 4:0 5:4 #822
-1 1:4 2:0 3:0 4:3 5:10 #828
#-1 1:0 2:0 3:0 4:0 5:0 #834
-1 1:0 2:0 3:0 4:2 5:3 #840
-1 1:0 2:0 3:0 4:4 5:3 #846
-1 1:2 2:0 3:0 4:3 5:15 #852
-1 1:0 2:0 3:2 4:5 5:19 #858
#-1 1:0 2:0 3:0 4:0 5:0 #864
-1 1:1 2:0 3:0 4:0 5:18 #870
-1 1:0 2:0 3:0 4:1 5:26 #876
-1 1:0 2:0 3:0 4:4 5:24 #882
-1 1:0 2:0 3:7 4:7 5:11 #888
-1 1:1 2:0 3:0 4:0 5:7 #894
-1 1:3 2:0 3:0 4:2 5:6 #900
-1 1:0 2:0 3:0 4:3 5:21 #906
-1 1:0 2:0 3:0 4:0 5:6 #912
-1 1:0 2:5 3:3 4:6 5:19 #918
-1 1:0 2:0 3:0 4:2 5:12 #924
-1 1:2 2:0 3:0 4:1 5:16 #930
-1 1:0 2:0 3:0 4:0 5:19 #936
-1 1:0 2:0 3:2 4:0 5:7 #942
-1 1:1 2:0 3:0 4:2 5:14 #948
-1 1:3 2:1 3:0 4:3 5:15 #954
-1 1:0 2:1 3:1 4:3 5:5 #960
-1 1:1 2:0 3:0 4:0 5:17 #966
-1 1:0 2:0 3:0 4:0 5:18 #972
-1 1:0 2:0 3:0 4:0 5:13 #978
-1 1:0 2:0 3:0 4:0 5:8 #984
-1 1:2 2:0 3:0 4:0 5:2 #990
-1 1:0 2:0 3:0 4:0 5:11 #996
-1 1:2 2:0 3:0 4:8 5:15 #1002
-1 1:1 2:0 3:0 4:0 5:11 #1008
-1 1:0 2:0 3:0 4:0 5:11 #1014
-1 1:0 2:0 3:0 4:0 5:9 #1020
-1 1:1 2:0 3:0 4:0 5:4 #1026
-1 1:0 2:0 3:0 4:1 5:8 #1032
-1 1:0 2:0 3:0 4:0 5:7 #1038
-1 1:0 2:0 3:0 4:0 5:8 #1044
-1 1:1 2:0 3:0 4:0 5:10 #1050
#-1 1:0 2:0 3:0 4:0 5:0 #1056
-1 1:0 2:0 3:0 4:0 5:4 #1062
-1 1:0 2:0 3:0 4:4 5:4 #1068
-1 1:0 2:3 3:0 4:0 5:6 #1074
-1 1:3 2:0 3:3 4:0 5:7 #1080
#-1 1:0 2:0 3:0 4:0 5:0 #1086
-1 1:2 2:0 3:0 4:0 5:3 #1092
-1 1:1 2:0 3:3 4:3 5:5 #1098
-1 1:0 2:0 3:0 4:0 5:4 #1104
-1 1:0 2:0 3:0 4:0 5:5 #1110
-1 1:2 2:0 3:5 4:0 5:0 #1116
-1 1:3 2:2 3:0 4:7 5:3 #1122
-1 1:0 2:0 3:0 4:1 5:15 #1128
-1 1:0 2:1 3:0 4:0 5:5 #1134
-1 1:0 2:0 3:0 4:0 5:15 #1140
-1 1:2 2:0 3:0 4:0 5:9 #1146
-1 1:1 2:0 3:0 4:0 5:2 #1152
-1 1:1 2:0 3:0 4:0 5:11 #1158
-1 1:0 2:0 3:0 4:2 5:6 #1164
