400-800;801-2000;2001-5000;5001-9000;9001-100000;frame
0;0;0;0;5;0
0;0;0;0;5;6
0;0;0;0;5;12
0;0;0;0;5;18
0;0;0;0;3;24
0;0;0;0;0;30
0;0;0;0;0;36
0;0;0;0;9;42
0;0;0;0;0;48
0;0;0;0;0;54
0;0;0;0;5;60
0;0;0;0;0;66
0;1;6;0;0;72
0;8;39;0;0;78
0;0;2;0;0;84
0;0;0;0;0;90
0;0;0;0;0;96
0;0;0;0;0;102
0;0;0;0;0;108
0;0;0;0;0;114
0;0;0;0;0;120
0;0;0;0;0;126
0;0;0;0;0;132
0;0;0;0;0;138
0;0;0;0;0;144
0;0;0;0;0;150
0;0;0;0;0;156
0;0;0;0;1;162
0;0;0;0;0;168
0;0;0;0;0;174
0;0;0;0;0;180
0;0;0;0;0;186
0;0;0;0;0;192
0;0;0;0;0;198
0;0;0;0;1;204
0;0;0;0;0;210
0;0;0;0;0;216
0;0;0;0;0;222
0;0;0;0;0;228
0;0;0;0;0;234
0;0;0;0;1;240
0;0;0;0;0;246
0;0;0;0;0;252
0;0;0;0;0;258
0;0;0;0;0;264
0;0;0;0;1;270
0;0;0;0;0;276
0;0;0;0;0;282
0;0;0;0;0;288
0;0;0;0;0;294
0;0;0;0;0;300
0;0;0;0;0;306
0;0;0;0;0;312
0;0;0;0;1;318
0;0;0;0;0;324
0;0;0;0;3;330
0;0;0;0;0;336
0;0;0;0;0;342
0;0;0;0;0;348
0;0;0;0;0;354
0;0;0;0;0;360
0;0;0;0;1;366
0;0;0;0;0;372
0;0;0;0;0;378
0;0;0;0;0;384
0;0;0;0;1;390
0;0;0;0;1;396
0;0;0;0;0;402
0;0;0;0;0;408
0;0;0;0;1;414
0;0;0;0;1;420
0;0;0;0;0;426
0;0;0;0;0;432
0;0;0;0;0;438
0;0;0;0;0;444
0;0;0;0;0;450
0;0;0;0;0;456
0;0;0;0;0;462
0;0;0;0;0;468
0;0;0;0;0;474
0;0;0;0;0;480
0;0;0;0;0;486
0;0;0;0;0;492
0;0;0;0;0;498
0;0;0;0;0;504
0;0;0;0;1;510
0;0;0;0;0;516
