 1:244.595 2:248.955 3:247.36 4:244.595 5:182.763 6:170.49 #0
 1:245.048 2:248.819 3:247.934 4:245.048 5:179.815 6:167.552 #6
 1:244.991 2:249.1 3:247.862 4:244.991 5:180.242 6:167.647 #12
 1:244.917 2:249.267 3:247.815 4:244.917 5:181.42 6:166.618 #18
 1:245.903 2:249.19 3:248.456 4:245.903 5:180.15 6:166.338 #24
 1:250.979 2:250.111 3:250.762 4:250.979 5:178.936 6:159.851 #30
 1:239.258 2:236.394 3:237.405 4:239.258 5:206.404 6:199.036 #36
 1:233.404 2:231.366 3:232.274 4:233.404 5:222.834 6:219.755 #42
 1:219.081 2:217.332 3:218.196 4:219.081 5:208.626 6:202.966 #48
 1:222.93 2:221.484 3:223.679 4:222.93 5:212.224 6:206.834 #54
 1:192.551 2:197.653 3:198.284 4:192.551 5:215.847 6:209.425 #60
 1:164.528 2:176.518 3:177.296 4:164.528 5:218.586 6:214.76 #66
 1:157.217 2:177.985 3:172.731 4:157.217 5:225.489 6:222.791 #72
 1:164.007 2:188.388 3:183.358 4:164.007 5:227.666 6:226.233 #78
 1:186.513 2:198.055 3:198.356 4:186.513 5:222.715 6:221.589 #84
 1:212.873 2:207.849 3:210.254 4:212.873 5:233.063 6:231.498 #90
 1:232.018 2:228.974 3:230.303 4:232.018 5:231.119 6:231.664 #96
 1:235.207 2:233.473 3:234.576 4:235.207 5:231.128 6:230.534 #102
 1:227.036 2:222.329 3:223.411 4:227.036 5:207.509 6:207.772 #108
 1:217.834 2:208.033 3:208.284 4:217.834 5:174.184 6:176.622 #114
 1:194.033 2:186.697 3:188.067 4:194.033 5:175.186 6:177.427 #120
 1:237.401 2:231.116 3:230.407 4:237.401 5:174.045 6:179.456 #126
 1:242.371 2:238.549 3:237.393 4:242.371 5:183.047 6:188.558 #132
 1:232.304 2:226.835 3:226.104 4:232.304 5:189.696 6:192.804 #138
 1:245.665 2:240.212 3:238.653 4:245.665 5:189.812 6:193.969 #144
 1:227.455 2:220.262 3:219.942 4:227.455 5:208.587 6:211.804 #150
 1:244.42 2:239.685 3:238.602 4:244.42 5:204.98 6:209.104 #156
 1:247.363 2:243.497 3:242.301 4:247.363 5:211.065 6:214.627 #162
 1:218.861 2:211.409 3:210.201 4:218.861 5:211.425 6:214.767 #168
 1:241.915 2:235.537 3:233.984 4:241.915 5:210.23 6:213.947 #174
 1:224.444 2:216.741 3:215.807 4:224.444 5:219.429 6:223.763 #180
 1:245.621 2:240.712 3:239.505 4:245.621 5:224.472 6:230.162 #186
 1:248.026 2:244.296 3:243.236 4:248.026 5:217.262 6:222.723 #192
 1:216.156 2:206.845 3:206.218 4:216.156 5:209.97 6:217.854 #198
 1:241.647 2:234.844 3:233.302 4:241.647 5:214.222 6:222.716 #204
 1:231.458 2:223.848 3:222.901 4:231.458 5:206.32 6:218.671 #210
 1:211.393 2:199.634 3:196.837 4:211.393 5:221.549 6:229.47 #216
 1:245.511 2:238.818 3:236.566 4:245.511 5:209.398 6:218.691 #222
 1:209.671 2:198.31 3:197.394 4:209.671 5:206.495 6:214.939 #228
 1:247.681 2:240.658 3:237.755 4:247.681 5:210.33 6:214.112 #234
 1:250.07 2:244.931 3:242.273 4:250.07 5:226.229 6:231.563 #240
 1:233.674 2:225.256 3:223.238 4:233.674 5:223.227 6:231.874 #246
 1:243.112 2:235.9 3:233.094 4:243.112 5:209.273 6:217.292 #252
 1:215.283 2:203.851 3:201.704 4:215.283 5:220.057 6:216.643 #258
 1:239.784 2:231.826 3:229.07 4:239.784 5:247.004 6:247.466 #264
 1:231.377 2:222.959 3:220.884 4:231.377 5:242.414 6:243.687 #270
 1:201.561 2:189.772 3:188.754 4:201.561 5:221.162 6:226.148 #276
 1:233.99 2:224.566 3:222.085 4:233.99 5:193.935 6:203.81 #282
 1:228.649 2:217.653 3:215.991 4:228.649 5:211.498 6:217.416 #288
 1:246.001 2:239.164 3:236.724 4:246.001 5:215.204 6:221.273 #294
 1:246.58 2:241.153 3:238.716 4:246.58 5:210.946 6:216.73 #300
 1:208.798 2:197.732 3:196.676 4:208.798 5:187.597 6:197.748 #306
 1:242.384 2:235.046 3:232.233 4:242.384 5:200.544 6:208.169 #312
 1:247.742 2:242.103 3:239.563 4:247.742 5:213.836 6:218.534 #318
 1:235.93 2:228.713 3:227.093 4:235.93 5:207.721 6:213.071 #324
 1:243.372 2:236.898 3:234.52 4:243.372 5:193.845 6:201.624 #330
 1:208.653 2:198.629 3:197.621 4:208.653 5:197.429 6:203.005 #336
 1:246.526 2:241.302 3:238.781 4:246.526 5:199.776 6:207.433 #342
 1:249.332 2:244.474 3:242.518 4:249.332 5:202.268 6:211.414 #348
 1:221.742 2:213.736 3:212.654 4:221.742 5:200.538 6:207.077 #354
 1:244.965 2:238.851 3:236.002 4:244.965 5:190.827 6:194.619 #360
 1:212.553 2:203.629 3:203.15 4:212.553 5:201.659 6:203.282 #366
 1:244.061 2:237.772 3:234.947 4:244.061 5:207.49 6:205.557 #372
 1:241.471 2:233.105 3:231.451 4:241.471 5:199.687 6:197.788 #378
 1:213.673 2:201.701 3:199.128 4:213.673 5:188.012 6:183.269 #384
 1:210.165 2:194.942 3:190.438 4:210.165 5:171.716 6:171.526 #390
 1:222.084 2:215.345 3:214.57 4:222.084 5:195.882 6:192.238 #396
 1:237.64 2:237.767 3:238.896 4:237.64 5:222.54 6:212.729 #402
 1:241.226 2:238.772 3:238.416 4:241.226 5:223.23 6:212.376 #408
 1:208.654 2:204.776 3:207.765 4:208.654 5:213.19 6:204.643 #414
 1:219.146 2:221.416 3:223.927 4:219.146 5:220.26 6:211.443 #420
 1:200.178 2:213.642 3:218.624 4:200.178 5:221.898 6:211.976 #426
 1:210.501 2:226.761 3:230.147 4:210.501 5:233.465 6:221.087 #432
 1:232.304 2:245.887 3:247.435 4:232.304 5:230.182 6:219.607 #438
 1:211.066 2:219.421 3:217.836 4:211.066 5:223.578 6:210.892 #444
 1:222.762 2:242.247 3:240.341 4:222.762 5:221.617 6:203.788 #450
 1:213.833 2:239.725 3:234.345 4:213.833 5:207.273 6:190.631 #456
 1:208.033 2:229.492 3:222.81 4:208.033 5:193.969 6:179.722 #462
 1:217.975 2:231.823 3:227.429 4:217.975 5:218.236 6:211.123 #468
 1:203.713 2:204.353 3:202.065 4:203.713 5:213.212 6:205.775 #474
 1:216.817 2:234.872 3:228.869 4:216.817 5:229.512 6:219.887 #480
 1:207.183 2:225.932 3:217.185 4:207.183 5:222.27 6:212.317 #486
 1:189.905 2:199.47 3:191.337 4:189.905 5:205.955 6:195.594 #492
 1:184.618 2:181.866 3:174.862 4:184.618 5:172.158 6:161.465 #498
 1:189.284 2:175.446 3:168.283 4:189.284 5:178.213 6:163.243 #504
 1:202.064 2:190.455 3:179.788 4:202.064 5:190.316 6:171.44 #510
 1:209.278 2:201.591 3:187.63 4:209.278 5:198.897 6:179.134 #516
 1:211.843 2:206.343 3:190.667 4:211.843 5:208.321 6:185.041 #522
 1:228.567 2:224.08 3:210.792 4:228.567 5:205.505 6:184.847 #528
 1:224.971 2:215.213 3:205.372 4:224.971 5:226.551 6:205.868 #534
 1:244.015 2:239.226 3:232.762 4:244.015 5:229.95 6:210.966 #540
 1:245.534 2:240.869 3:234.947 4:245.534 5:233.35 6:216.943 #546
 1:225.781 2:217.086 3:210.9 4:225.781 5:234.273 6:221.744 #552
 1:241.645 2:241.808 3:236.33 4:241.645 5:230.091 6:224.871 #558
 1:210.043 2:211.397 3:200.994 4:210.043 5:241.741 6:236.185 #564
 1:225.44 2:228.938 3:219.973 4:225.44 5:242.393 6:236.384 #570
 1:217.397 2:226.102 3:212.513 4:217.397 5:238.013 6:232.485 #576
 1:211.7 2:219.584 3:203.94 4:211.7 5:228.536 6:221.762 #582
 1:215.194 2:226.441 3:210.128 4:215.194 5:224.712 6:220.865 #588
 1:213.597 2:222.767 3:207.946 4:213.597 5:227.447 6:223.131 #594
 1:230.02 2:236.43 3:226.584 4:230.02 5:226.676 6:224.615 #600
 1:233.304 2:237.32 3:228.574 4:233.304 5:227.097 6:226.133 #606
 1:210.951 2:210.585 3:201.938 4:210.951 5:237.073 6:232.96 #612
 1:234.317 2:233.098 3:226.48 4:234.317 5:217.196 6:207.524 #618
 1:213.424 2:209.446 3:203.356 4:213.424 5:224.305 6:215.538 #624
 1:234.709 2:233.491 3:229.011 4:234.709 5:227.855 6:228.354 #630
 1:232.795 2:236.975 3:231.356 4:232.795 5:230.763 6:231.11 #636
 1:206.971 2:209.481 3:202.884 4:206.971 5:228.766 6:228.348 #642
 1:233.164 2:234.778 3:228.363 4:233.164 5:230.274 6:231.02 #648
 1:203.97 2:202.794 3:197.687 4:203.97 5:168.959 6:172.337 #654
 1:239.684 2:241.874 3:234.934 4:239.684 5:207.657 6:212.46 #660
 1:231.405 2:239.863 3:231.055 4:231.405 5:236.928 6:239.833 #666
 1:203.042 2:213.535 3:205.208 4:203.042 5:239.275 6:240.961 #672
 1:220.184 2:231.47 3:224.371 4:220.184 5:225.077 6:229.408 #678
 1:179.109 2:189.796 3:183.755 4:179.109 5:234.522 6:237.298 #684
 1:203.732 2:227.306 3:218.759 4:203.732 5:235.541 6:239.774 #690
 1:195.975 2:230.448 3:216.21 4:195.975 5:229.79 6:234.717 #696
 1:181.094 2:214.186 3:196.579 4:181.094 5:220.199 6:224.925 #702
 1:195.485 2:235.635 3:217.035 4:195.485 5:211.731 6:214.338 #708
 1:194.461 2:211.408 3:205.109 4:194.461 5:224.669 6:224.134 #714
 1:215.222 2:244.791 3:231.501 4:215.222 5:246.076 6:247.047 #720
 1:213.001 2:239.534 3:226.115 4:213.001 5:250.051 6:251.275 #726
 1:185.556 2:210.501 3:196.794 4:185.556 5:244.899 6:247.001 #732
 1:194.01 2:220.53 3:207.253 4:194.01 5:233.731 6:237.742 #738
 1:170.211 2:185.301 3:174.824 4:170.211 5:236.915 6:239.268 #744
 1:201.715 2:218.396 3:207.623 4:201.715 5:211.717 6:216.655 #750
 1:187.134 2:212.269 3:197.498 4:187.134 5:204.434 6:208.788 #756
 1:171.828 2:194.076 3:180.586 4:171.828 5:206.14 6:210.296 #762
 1:185.28 2:207.139 3:194.351 4:185.28 5:222.204 6:226.397 #768
 1:170.724 2:190.774 3:178.533 4:170.724 5:230.4 6:233.819 #774
 1:184.012 2:201.961 3:191.002 4:184.012 5:231.412 6:236.637 #780
 1:175.337 2:196.046 3:182.236 4:175.337 5:218.901 6:222.248 #786
 1:169.108 2:189.25 3:175.046 4:169.108 5:242.212 6:243.26 #792
 1:187.075 2:202.405 3:192.353 4:187.075 5:221.051 6:224.523 #798
 1:176.527 2:188.932 3:181.218 4:176.527 5:237.131 6:240.624 #804
 1:187.417 2:201.617 3:193.849 4:187.417 5:230.419 6:235.235 #810
 1:186.694 2:205.107 3:196.775 4:186.694 5:222.481 6:227.729 #816
 1:180.696 2:194.41 3:187.676 4:180.696 5:226.911 6:229.467 #822
 1:197.968 2:208.64 3:202.77 4:197.968 5:221.745 6:227.451 #828
 1:172.991 2:184.94 3:178.22 4:172.991 5:234.577 6:237.868 #834
 1:197.736 2:209.192 3:202.116 4:197.736 5:220.899 6:225.869 #840
 1:188.828 2:206.735 3:195.797 4:188.828 5:230.629 6:233.628 #846
 1:172.124 2:186.343 3:176.453 4:172.124 5:235.718 6:237.786 #852
 1:182.908 2:199.441 3:188.467 4:182.908 5:220.175 6:221.959 #858
 1:172.293 2:186.271 3:175.73 4:172.293 5:245.87 6:245.599 #864
 1:198.068 2:209.215 3:200.933 4:198.068 5:237.316 6:237.494 #870
 1:199.652 2:212.289 3:203.589 4:199.652 5:238.291 6:237.353 #876
 1:191.293 2:197.544 3:192.23 4:191.293 5:231.441 6:231.96 #882
 1:210.628 2:214.701 3:210.321 4:210.628 5:217.943 6:221.801 #888
 1:167.052 2:179.124 3:172.551 4:167.052 5:230.979 6:235.136 #894
 1:190.82 2:207.068 3:200.03 4:190.82 5:238.845 6:242.292 #900
 1:187.314 2:206.272 3:195.776 4:187.314 5:251.958 6:253.233 #906
 1:171.379 2:187.552 3:179.461 4:171.379 5:223.679 6:226.372 #912
 1:189.113 2:204.876 3:195.709 4:189.113 5:216.463 6:218.18 #918
 1:162.539 2:176.128 3:168.63 4:162.539 5:242.385 6:242.695 #924
 1:190.549 2:205.388 3:199.059 4:190.549 5:231.239 6:233.451 #930
 1:187.714 2:205.305 3:198.67 4:187.714 5:232.405 6:233.157 #936
 1:188.974 2:205.035 3:200.774 4:188.974 5:237.035 6:238.913 #942
 1:192.162 2:207.261 3:203.903 4:192.162 5:215.462 6:217.963 #948
 1:173.066 2:186.511 3:184.026 4:173.066 5:238.709 6:239.958 #954
 1:203.321 2:220.391 3:215.031 4:203.321 5:241.612 6:243.105 #960
 1:195.539 2:212.086 3:206.55 4:195.539 5:244.996 6:247.047 #966
 1:198.226 2:212.469 3:208.695 4:198.226 5:241.876 6:246.347 #972
 1:203.684 2:216.535 3:213.687 4:203.684 5:231.993 6:237.528 #978
 1:170.319 2:182.125 3:181.766 4:170.319 5:224.044 6:229.539 #984
 1:205.357 2:220.309 3:218.046 4:205.357 5:223.865 6:229.418 #990
 1:196.406 2:214.866 3:210.648 4:196.406 5:236.574 6:241.237 #996
 1:197.656 2:213.475 3:208.978 4:197.656 5:234.873 6:239.755 #1002
 1:205.48 2:216.632 3:212.936 4:205.48 5:210.034 6:214.176 #1008
 1:180.115 2:189.941 3:187.357 4:180.115 5:229.138 6:230.063 #1014
 1:207.68 2:214.116 3:212.291 4:207.68 5:200.569 6:205.556 #1020
 1:184.528 2:201.201 3:195.672 4:184.528 5:204.753 6:208.567 #1026
 1:196.202 2:214.465 3:208.25 4:196.202 5:224.561 6:230.047 #1032
 1:191.112 2:211.669 3:205.402 4:191.112 5:203.319 6:208.593 #1038
 1:169.171 2:186.681 3:182.042 4:169.171 5:216.445 6:219.869 #1044
 1:196.3 2:208.994 3:204.643 4:196.3 5:218.841 6:225.223 #1050
 1:179.574 2:195.686 3:189.899 4:179.574 5:231.528 6:236.554 #1056
 1:197.47 2:211.632 3:205.677 4:197.47 5:203.737 6:209.678 #1062
 1:194.457 2:211.143 3:203.602 4:194.457 5:216.873 6:222.118 #1068
 1:173.731 2:184.698 3:178.272 4:173.731 5:213.23 6:217.643 #1074
 1:210.463 2:221.755 3:214.84 4:210.463 5:219.89 6:225.383 #1080
 1:183.125 2:196.365 3:187.846 4:183.125 5:244.097 6:246.033 #1086
 1:197.429 2:210.254 3:203.899 4:197.429 5:209.405 6:215.973 #1092
 1:198.8 2:211.705 3:205.323 4:198.8 5:228.287 6:232.551 #1098
 1:168.956 2:176.011 3:172.312 4:168.956 5:230.822 6:235.076 #1104
 1:203.638 2:210.38 3:206.902 4:203.638 5:213.703 6:220.056 #1110
 1:183.852 2:193.724 3:189.16 4:183.852 5:207.189 6:212.849 #1116
 1:199.344 2:211.159 3:205.561 4:199.344 5:227.208 6:232.935 #1122
 1:192.495 2:206.811 3:199.917 4:192.495 5:240.895 6:244.251 #1128
 1:173.29 2:186.598 3:180.177 4:173.29 5:242.438 6:244.659 #1134
 1:194.256 2:206.918 3:200.935 4:194.256 5:226.429 6:230.819 #1140
 1:172.324 2:186.577 3:179.788 4:172.324 5:227.962 6:229.725 #1146
 1:196.394 2:217.842 3:207.697 4:196.394 5:233.202 6:234.992 #1152
 1:193.005 2:218.32 3:207.365 4:193.005 5:252.195 6:252.768 #1158
 1:179.825 2:199.495 3:191.497 4:179.825 5:238.085 6:240.069 #1164
 1:197.509 2:218.145 3:210.011 4:197.509 5:235.155 6:236.576 #1170
 1:161.807 2:173.96 3:171.733 4:161.807 5:235.968 6:235.738 #1176
 1:187.381 2:206.936 3:202.062 4:187.381 5:213.204 6:213.576 #1182
 1:176.856 2:200.301 3:195.26 4:176.856 5:216.312 6:217.528 #1188
 1:182.65 2:204.563 3:199.272 4:182.65 5:222.539 6:226.003 #1194
 1:176.902 2:202.828 3:197.255 4:176.902 5:210.747 6:215.429 #1200
 1:162.25 2:172.957 3:170.182 4:162.25 5:221.646 6:225.461 #1206
 1:186.215 2:217.949 3:208.103 4:186.215 5:209.905 6:212.293 #1212
 1:219.559 2:231.541 3:229.024 4:219.559 5:236.282 6:238.545 #1218
 1:249.845 2:249.159 3:250.587 4:249.845 5:232.232 6:234.633 #1224
 1:252.479 2:253.127 3:253.615 4:252.479 5:213.182 6:211.2 #1230
