 1:0 2:0 3:0 4:0 5:5 #0
 1:0 2:0 3:0 4:0 5:5 #6
 1:0 2:0 3:0 4:0 5:5 #12
 1:0 2:0 3:0 4:0 5:5 #18
 1:0 2:0 3:0 4:0 5:0 #24
 1:0 2:0 3:0 4:0 5:0 #30
 1:0 2:0 3:0 4:0 5:0 #36
 1:0 2:0 3:0 4:0 5:0 #42
 1:0 2:0 3:0 4:0 5:0 #48
 1:0 2:0 3:0 4:0 5:0 #54
 1:0 2:0 3:0 4:4 5:1 #60
 1:3 2:0 3:0 4:0 5:0 #66
 1:21 2:6 3:0 4:0 5:0 #72
 1:16 2:39 3:0 4:0 5:0 #78
 1:0 2:2 3:0 4:1 5:0 #84
 1:0 2:0 3:0 4:0 5:0 #90
 1:0 2:0 3:0 4:0 5:0 #96
 1:0 2:0 3:0 4:0 5:0 #102
 1:0 2:0 3:0 4:0 5:0 #108
 1:0 2:0 3:0 4:0 5:0 #114
 1:0 2:0 3:0 4:0 5:0 #120
 1:0 2:0 3:0 4:0 5:0 #126
 1:0 2:0 3:0 4:0 5:0 #132
 1:0 2:0 3:0 4:0 5:0 #138
 1:0 2:0 3:0 4:0 5:0 #144
 1:0 2:0 3:0 4:0 5:0 #150
 1:0 2:0 3:0 4:0 5:0 #156
 1:0 2:0 3:0 4:0 5:0 #162
 1:0 2:0 3:0 4:0 5:0 #168
 1:0 2:0 3:1 4:0 5:0 #174
 1:0 2:0 3:0 4:0 5:0 #180
 1:0 2:0 3:0 4:0 5:0 #186
 1:0 2:0 3:0 4:0 5:0 #192
 1:0 2:0 3:0 4:0 5:0 #198
 1:0 2:0 3:0 4:0 5:0 #204
 1:0 2:0 3:0 4:0 5:0 #210
 1:0 2:0 3:0 4:0 5:0 #216
 1:0 2:0 3:0 4:0 5:0 #222
 1:0 2:0 3:0 4:0 5:0 #228
 1:0 2:0 3:0 4:0 5:0 #234
 1:0 2:0 3:0 4:0 5:0 #240
 1:0 2:0 3:0 4:0 5:0 #246
 1:0 2:0 3:0 4:0 5:0 #252
 1:0 2:0 3:0 4:0 5:0 #258
 1:0 2:0 3:0 4:0 5:0 #264
 1:0 2:0 3:0 4:0 5:0 #270
 1:0 2:0 3:0 4:0 5:0 #276
 1:0 2:0 3:0 4:0 5:0 #282
 1:0 2:0 3:0 4:0 5:0 #288
 1:0 2:0 3:0 4:0 5:0 #294
 1:0 2:0 3:0 4:0 5:0 #300
 1:0 2:0 3:0 4:0 5:0 #306
 1:0 2:0 3:0 4:0 5:0 #312
 1:0 2:0 3:0 4:0 5:0 #318
 1:0 2:0 3:0 4:0 5:0 #324
 1:0 2:0 3:0 4:0 5:0 #330
 1:0 2:0 3:0 4:0 5:0 #336
 1:0 2:0 3:0 4:0 5:0 #342
 1:0 2:0 3:0 4:0 5:0 #348
 1:0 2:0 3:0 4:0 5:0 #354
 1:0 2:0 3:0 4:0 5:0 #360
 1:0 2:0 3:0 4:0 5:0 #366
 1:0 2:0 3:0 4:0 5:0 #372
 1:0 2:0 3:0 4:0 5:0 #378
 1:0 2:0 3:0 4:0 5:0 #384
 1:0 2:0 3:0 4:0 5:0 #390
 1:0 2:0 3:0 4:0 5:0 #396
 1:0 2:0 3:0 4:0 5:0 #402
 1:0 2:0 3:0 4:0 5:0 #408
 1:0 2:0 3:0 4:0 5:0 #414
 1:0 2:0 3:0 4:0 5:0 #420
 1:0 2:0 3:0 4:0 5:0 #426
 1:0 2:0 3:0 4:0 5:0 #432
 1:0 2:0 3:0 4:0 5:0 #438
 1:0 2:0 3:0 4:0 5:0 #444
 1:0 2:0 3:0 4:0 5:0 #450
 1:0 2:0 3:0 4:0 5:0 #456
 1:0 2:0 3:0 4:0 5:0 #462
 1:0 2:0 3:0 4:0 5:0 #468
 1:0 2:0 3:0 4:0 5:0 #474
 1:0 2:0 3:0 4:0 5:0 #480
 1:0 2:0 3:0 4:0 5:0 #486
 1:0 2:0 3:0 4:0 5:0 #492
 1:0 2:0 3:0 4:0 5:0 #498
 1:0 2:0 3:0 4:0 5:0 #504
 1:0 2:0 3:0 4:0 5:0 #510
 1:0 2:0 3:0 4:0 5:0 #516
 1:0 2:0 3:0 4:0 5:0 #522
 1:0 2:0 3:0 4:0 5:0 #528
 1:0 2:0 3:0 4:0 5:0 #534
 1:0 2:0 3:0 4:0 5:0 #540
 1:0 2:0 3:0 4:0 5:0 #546
 1:0 2:0 3:0 4:0 5:0 #552
 1:0 2:0 3:0 4:0 5:0 #558
 1:0 2:0 3:0 4:0 5:0 #564
 1:1 2:0 3:0 4:0 5:0 #570
 1:2 2:19 3:0 4:0 5:0 #576
 1:24 2:47 3:1 4:0 5:0 #582
 1:32 2:31 3:0 4:0 5:0 #588
 1:3 2:6 3:0 4:0 5:0 #594
 1:49 2:78 3:1 4:0 5:0 #600
 1:108 2:180 3:0 4:0 5:0 #606
 1:148 2:188 3:0 4:0 5:0 #612
 1:118 2:206 3:0 4:0 5:0 #618
 1:15 2:44 3:0 4:0 5:0 #624
 1:59 2:153 3:1 4:0 5:0 #630
 1:93 2:135 3:0 4:0 5:0 #636
 1:75 2:171 3:0 4:0 5:0 #642
 1:56 2:147 3:1 4:1 5:0 #648
 1:9 2:24 3:0 4:0 5:0 #654
 1:8 2:16 3:0 4:0 5:0 #660
 1:25 2:35 3:0 4:0 5:0 #666
 1:37 2:44 3:1 4:0 5:0 #672
 1:41 2:106 3:0 4:0 5:0 #678
 1:7 2:30 3:0 4:0 5:0 #684
 1:21 2:34 3:1 4:0 5:0 #690
 1:44 2:71 3:0 4:0 5:0 #696
 1:52 2:105 3:0 4:0 5:0 #702
 1:9 2:32 3:2 4:0 5:0 #708
 1:2 2:11 3:0 4:0 5:0 #714
 1:45 2:131 3:1 4:0 5:0 #720
 1:28 2:112 3:0 4:0 5:0 #726
 1:77 2:234 3:0 4:0 5:0 #732
