 1:0 2:0 3:5 #0
 1:0 2:0 3:5 #6
 1:0 2:0 3:5 #12
 1:0 2:0 3:5 #18
 1:0 2:0 3:3 #24
 1:0 2:0 3:0 #30
 1:0 2:0 3:0 #36
 1:0 2:0 3:9 #42
 1:0 2:0 3:0 #48
 1:0 2:0 3:0 #54
 1:0 2:0 3:5 #60
 1:0 2:0 3:0 #66
 1:7 2:0 3:0 #72
 1:47 2:0 3:0 #78
 1:2 2:0 3:0 #84
 1:0 2:0 3:0 #90
 1:0 2:0 3:0 #96
 1:0 2:0 3:0 #102
 1:0 2:0 3:0 #108
 1:0 2:0 3:0 #114
 1:0 2:0 3:0 #120
 1:0 2:0 3:0 #126
 1:0 2:0 3:0 #132
 1:0 2:0 3:0 #138
 1:0 2:0 3:0 #144
 1:0 2:0 3:0 #150
 1:0 2:0 3:0 #156
 1:0 2:0 3:1 #162
 1:0 2:0 3:0 #168
 1:0 2:0 3:0 #174
 1:0 2:0 3:0 #180
 1:0 2:0 3:0 #186
 1:0 2:0 3:0 #192
 1:0 2:0 3:0 #198
 1:0 2:0 3:1 #204
 1:0 2:0 3:0 #210
 1:0 2:0 3:0 #216
 1:0 2:0 3:0 #222
 1:0 2:0 3:0 #228
 1:0 2:0 3:0 #234
 1:0 2:0 3:1 #240
 1:0 2:0 3:0 #246
 1:0 2:0 3:0 #252
 1:0 2:0 3:0 #258
 1:0 2:0 3:0 #264
 1:0 2:0 3:1 #270
 1:0 2:0 3:0 #276
 1:0 2:0 3:0 #282
 1:0 2:0 3:0 #288
 1:0 2:0 3:0 #294
 1:0 2:0 3:0 #300
 1:0 2:0 3:0 #306
 1:0 2:0 3:0 #312
 1:0 2:0 3:1 #318
 1:0 2:0 3:0 #324
 1:0 2:0 3:3 #330
 1:0 2:0 3:0 #336
 1:0 2:0 3:0 #342
 1:0 2:0 3:0 #348
 1:0 2:0 3:0 #354
 1:0 2:0 3:0 #360
 1:0 2:0 3:1 #366
 1:0 2:0 3:0 #372
 1:0 2:0 3:0 #378
 1:0 2:0 3:0 #384
 1:0 2:0 3:1 #390
 1:0 2:0 3:1 #396
 1:0 2:0 3:0 #402
 1:0 2:0 3:0 #408
 1:0 2:0 3:1 #414
 1:0 2:0 3:1 #420
 1:0 2:0 3:0 #426
 1:0 2:0 3:0 #432
 1:0 2:0 3:0 #438
 1:0 2:0 3:0 #444
 1:0 2:0 3:0 #450
 1:0 2:0 3:0 #456
 1:0 2:0 3:0 #462
 1:0 2:0 3:0 #468
 1:0 2:0 3:0 #474
 1:0 2:0 3:0 #480
 1:0 2:0 3:0 #486
 1:0 2:0 3:0 #492
 1:0 2:0 3:0 #498
 1:0 2:0 3:0 #504
 1:0 2:0 3:1 #510
 1:0 2:0 3:0 #516
 1:0 2:0 3:0 #522
 1:0 2:0 3:1 #528
 1:0 2:0 3:1 #534
 1:0 2:0 3:1 #540
 1:0 2:0 3:2 #546
 1:0 2:0 3:0 #552
 1:0 2:0 3:0 #558
