Frame	100-2000	2000-5000	5000-10000	10000-100000
0	0	0	0	2
10	0	1	0	4
20	0	0	0	3
30	0	0	0	0
40	0	0	0	0
50	2	0	0	0
60	0	0	0	3
70	5	0	0	0
80	66	14	0	0
90	0	0	0	0
100	0	0	0	5
110	0	0	0	0
120	0	0	0	0
130	0	0	0	0
140	0	0	0	0
150	0	0	0	0
160	0	0	0	0
170	0	0	0	0
180	0	0	0	0
190	0	0	0	0
200	0	0	0	0
210	0	0	0	0
220	0	0	0	0
230	0	0	0	0
240	4	0	0	0
250	0	0	0	0
260	0	0	0	0
270	0	0	0	0
280	0	0	0	0
290	0	0	0	0
300	0	0	0	0
310	0	0	0	0
320	0	0	0	0
330	0	0	0	0
340	0	0	0	0
350	0	0	0	0
360	0	0	0	0
370	0	0	0	0
380	0	0	0	0
390	0	0	0	0
400	0	0	0	0
410	0	0	0	0
420	0	0	0	0
430	0	0	0	0
440	0	0	0	0
450	0	0	0	0
460	0	0	0	0
470	0	0	0	0
480	0	0	0	0
490	0	0	0	0
500	0	0	0	0
510	0	0	0	0
520	0	0	0	0
530	0	0	0	0
540	0	0	0	0
550	0	0	0	0
560	0	0	0	0
570	1	0	0	0
580	82	9	0	0
590	136	29	0	0
600	269	50	0	0
610	337	92	0	0
620	325	77	0	0
630	221	68	0	0
640	272	74	0	0
650	106	35	0	0
660	62	13	0	0
670	79	17	0	0
680	131	36	0	0
690	66	20	0	0
700	134	41	1	0
710	87	40	0	0
720	187	57	0	0
730	332	75	1	0
740	28	49	1	1
750	0	0	0	1
760	0	0	0	0
770	0	16	2	4
780	0	0	0	5
790	0	0	0	6
800	1	0	0	2
810	0	0	0	1
820	1	0	0	1
830	0	0	0	6
840	0	0	3	1
850	0	0	14	5
860	0	0	0	8
870	0	0	13	9
880	0	0	14	19
890	0	0	0	9
900	0	0	3	4
910	0	0	0	9
920	0	0	0	13
930	1	1	3	15
940	0	0	0	3
950	0	0	0	13
960	0	15	5	2
970	0	0	0	5
980	0	0	0	0
990	0	0	0	0
1000	0	0	0	5
1010	0	0	13	3
1020	0	0	0	9
1030	2	9	1	7
1040	3	0	0	6
1050	12	2	2	4
1060	0	0	0	4
1070	0	0	9	7
1080	0	2	0	2
1090	0	0	2	6
1100	0	0	0	7
1110	0	0	0	4
1120	0	0	0	0
1130	0	0	11	9
1140	0	0	0	6
1150	0	0	2	7
1160	0	0	0	5
1170	0	0	12	5
1180	0	12	2	12
1190	1	0	13	6
1200	0	0	0	4
1210	0	15	2	1
1220	0	0	0	0
1230	1	10	1	0
1240	0	0	7	3
1250	0	0	0	0
1260	0	0	0	3
1270	0	1	0	3
1280	0	0	1	3
1290	0	0	0	0
1300	0	0	0	0
1310	0	0	0	0
1320	9	1	0	0
1330	0	0	0	0
1340	0	0	0	0
1350	0	0	0	0
1360	0	1	0	0
