? 1:105.278 2:66.1181 3:58.891 #0
? 1:105.417 2:66.1125 3:58.8732 #1
? 1:105.942 2:66.1166 3:58.7942 #2
? 1:104.981 2:65.9196 3:58.8035 #3
? 1:105.684 2:66.2805 3:59.0935 #4
? 1:105.205 2:66.2066 3:59.1564 #5
? 1:105.639 2:66.744 3:59.6587 #6
? 1:105.677 2:66.694 3:59.8108 #7
? 1:105.349 2:66.548 3:59.951 #8
? 1:104.245 2:66.7096 3:60.5862 #9
? 1:103.814 2:66.2592 3:60.5551 #10
? 1:103.781 2:66.3726 3:60.2925 #11
? 1:104.524 2:66.5115 3:60.437 #12
? 1:105.18 2:66.5099 3:60.3031 #13
? 1:104.868 2:66.6475 3:60.1343 #14
? 1:104.876 2:66.6156 3:59.9264 #15
? 1:104.799 2:66.8916 3:59.2065 #16
? 1:104.566 2:66.6596 3:59.0399 #17
? 1:103.521 2:66.5306 3:59.3197 #18
? 1:104.697 2:66.5301 3:58.8309 #19
? 1:104.972 2:66.4358 3:58.7356 #20
? 1:106.312 2:66.7452 3:58.2093 #21
? 1:107.288 2:66.471 3:57.9089 #22
? 1:108.174 2:66.4768 3:57.9092 #23
? 1:110.064 2:66.6388 3:58.141 #24
? 1:113.893 2:66.2967 3:58.792 #25
? 1:146.642 2:66.5392 3:59.0941 #26
? 1:274.449 2:66.4528 3:59.6732 #27
? 1:728.733 2:69.495 3:61.5408 #28
? 1:143001000 2:118.608 3:58.3388 #29
? 1:137094000 2:943.635 3:57.3051 #30
? 1:58198.1 2:505526 3:58.8733 #31
? 1:52069.4 2:146127000 3:60.3206 #32
? 1:104578 2:141391000 3:58.1548 #33
? 1:7491.56 2:146716000 3:56.1921 #34
? 1:1686.51 2:141212000 3:59.3236 #35
? 1:1618.35 2:4303.87 3:70.205 #36
? 1:5448.72 2:1453.85 3:268.694 #37
? 1:3960.96 2:2398.2 3:333.72 #38
? 1:7267.03 2:935.05 3:84.5542 #39
? 1:7733.94 2:1432.7 3:69.4327 #40
? 1:273900 2:436.802 3:70.7099 #41
? 1:95316.1 2:666.61 3:72.1563 #42
? 1:8733.79 2:296.009 3:76.4753 #43
? 1:2159.79 2:220.862 3:82.8073 #44
? 1:280.974 2:158.83 3:87.3558 #45
? 1:312.257 2:134.082 3:90.9765 #46
? 1:309.634 2:125.636 3:83.7913 #47
? 1:230.793 2:145.527 3:78.5265 #48
? 1:271.613 2:228.323 3:76.0277 #49
? 1:194.652 2:450.336 3:82.9451 #50
? 1:259.124 2:381.486 3:83.4763 #51
? 1:266.055 2:401.702 3:83.9755 #52
? 1:320.432 2:661.194 3:83.9892 #53
? 1:453.226 2:1777.47 3:86.3025 #54
? 1:177.154 2:434.404 3:108.694 #55
? 1:120.983 2:374.335 3:98.7578 #56
? 1:98.9558 2:776.436 3:94.2401 #57
? 1:87.8202 2:874.289 3:93.4301 #58
? 1:85.4487 2:568.176 3:99.4395 #59
? 1:77.0998 2:284.549 3:93.2481 #60
? 1:78.9428 2:130.493 3:134.316 #61
? 1:73.1581 2:91.0832 3:537.873 #62
? 1:66.7287 2:91.0011 3:610.765 #63
? 1:61.1 2:110.201 3:620.651 #64
? 1:61.7977 2:144.122 3:595.625 #65
? 1:64.6344 2:199.714 3:2050.01 #66
? 1:62.8818 2:208.132 3:11618.7 #67
? 1:70.2324 2:152.39 3:14225.7 #68
? 1:71.0763 2:125.316 3:167211 #69
? 1:69.9887 2:107.638 3:276857 #70
? 1:97.453 2:114.882 3:191673 #71
? 1:87.2827 2:96.6032 3:11192000 #72
? 1:94.0881 2:126.537 3:2404.65 #73
? 1:127.563 2:241.732 3:1713.25 #74
? 1:143.782 2:586.419 3:1518.5 #75
? 1:241.169 2:13412.5 3:988.068 #76
? 1:276.784 2:47150 3:1099.67 #77
? 1:748.433 2:234059 3:1057.18 #78
? 1:582.062 2:596481 3:640.169 #79
? 1:720.889 2:236298 3:619.283 #80
? 1:659.848 2:119718000 3:598.613 #81
? 1:1314.36 2:118862000 3:670.5 #82
? 1:1804.73 2:12164000 3:546.501 #83
? 1:3371.74 2:124946000 3:589.427 #84
? 1:8662.25 2:126337000 3:714.743 #85
? 1:17479.3 2:129095000 3:627.941 #86
? 1:11645.9 2:13028000 3:604.492 #87
? 1:19495.4 2:13042000 3:411.009 #88
? 1:15416.1 2:131352000 3:427.114 #89
? 1:25932 2:131034000 3:634.207 #90
? 1:9727.59 2:133237000 3:226.664 #91
? 1:12616.7 2:132418000 3:194.516 #92
? 1:10266.4 2:132208000 3:157.886 #93
? 1:24268 2:132788000 3:152.84 #94
? 1:25925.6 2:132302000 3:172.379 #95
? 1:25154.3 2:133305000 3:155.297 #96
? 1:9646.04 2:132321000 3:157.285 #97
? 1:27273.2 2:133222000 3:177.941 #98
? 1:12125.1 2:138331000 3:203.573 #99
? 1:7409.4 2:17202.5 3:303.414 #100
? 1:4697.1 2:141189000 3:157.77 #101
? 1:2059.96 2:138374000 3:130.895 #102
? 1:1409.09 2:133581000 3:121.991 #103
? 1:1534.07 2:131525000 3:119.431 #104
? 1:2037.13 2:131506000 3:118.108 #105
? 1:907.914 2:127663000 3:116.309 #106
? 1:738.586 2:12294000 3:113.325 #107
? 1:541.996 2:121222000 3:114.679 #108
? 1:429.655 2:126038000 3:114.566 #109
? 1:480.898 2:126253000 3:116.146 #110
? 1:499.92 2:121121000 3:105.238 #111
? 1:457.168 2:116812000 3:107.255 #112
? 1:953.542 2:113306000 3:101.495 #113
? 1:2433.54 2:113945000 3:106.082 #114
? 1:2432.23 2:113814000 3:104.038 #115
? 1:3947.31 2:110897000 3:110.38 #116
? 1:7959.64 2:106805000 3:111.379 #117
? 1:2612.08 2:105408000 3:151.034 #118
? 1:2451.46 2:111589000 3:362.929 #119
? 1:14768.1 2:109121000 3:270.519 #120
? 1:3048.23 2:109893000 3:191.005 #121
? 1:2091.63 2:108226000 3:165.482 #122
? 1:3793.75 2:106654000 3:147.766 #123
? 1:3387.49 2:107774000 3:143.398 #124
? 1:2713.34 2:109381000 3:137.587 #125
? 1:2296.06 2:110055000 3:143.578 #126
? 1:1177.82 2:134961 3:139.549 #127
? 1:977.099 2:110346000 3:167.557 #128
? 1:905.944 2:116069000 3:237.4 #129
? 1:1061.59 2:114232000 3:230.956 #130
? 1:885.074 2:115334000 3:429.084 #131
? 1:797.193 2:112893000 3:194.482 #132
? 1:8461.3 2:110884000 3:188.342 #133
? 1:10961.5 2:112812000 3:178.554 #134
? 1:7604 2:113577000 3:159.624 #135
? 1:1465.01 2:11458000 3:158.337 #136
? 1:1136.26 2:113118000 3:150.147 #137
? 1:1562.41 2:11357000 3:133.398 #138
? 1:2337.68 2:117055000 3:125.408 #139
? 1:2171.43 2:115832000 3:124.78 #140
? 1:3261.13 2:122148000 3:128.216 #141
? 1:1914.64 2:121791000 3:130.788 #142
? 1:3280.83 2:116821000 3:137.905 #143
? 1:20971.2 2:122282000 3:155.449 #144
? 1:2189.29 2:122678000 3:146.719 #145
? 1:1384.6 2:107929 3:136.201 #146
? 1:2165.11 2:104476 3:130.436 #147
? 1:1450.94 2:132500 3:133.25 #148
? 1:3445.06 2:125104000 3:150.345 #149
? 1:3294.37 2:112163 3:179.634 #150
? 1:2668.26 2:176817 3:186.178 #151
? 1:2173 2:11378000 3:137.893 #152
? 1:6783.41 2:108643000 3:129.375 #153
? 1:31193.8 2:10941000 3:128.661 #154
? 1:7795.19 2:51520.8 3:120.127 #155
? 1:3216.87 2:63957.2 3:121.731 #156
? 1:565.277 2:7220.59 3:123.342 #157
? 1:547.822 2:15391 3:127.971 #158
? 1:631.059 2:617134 3:129.023 #159
? 1:595.797 2:5981.07 3:129.165 #160
? 1:610.251 2:32983.3 3:136.12 #161
? 1:747.823 2:8857.92 3:140.571 #162
? 1:1258.47 2:5717.18 3:146.504 #163
? 1:3153.37 2:32844.3 3:146.596 #164
? 1:1789.4 2:36705.6 3:158.524 #165
? 1:1126.01 2:59894.9 3:156.699 #166
? 1:619.044 2:42021 3:138.753 #167
? 1:576.717 2:129989 3:134.506 #168
? 1:649.554 2:47783.6 3:132.842 #169
? 1:380.291 2:85008.8 3:126.056 #170
? 1:377.456 2:73723.6 3:124.296 #171
? 1:453.838 2:143918 3:128.371 #172
? 1:1420.12 2:30454.7 3:134.759 #173
? 1:32101 2:34214 3:138.383 #174
? 1:2262.83 2:71805.1 3:137.603 #175
? 1:708.618 2:56535.5 3:129.608 #176
? 1:404.331 2:18938.5 3:129.735 #177
? 1:392.006 2:47101.4 3:135.51 #178
? 1:543.533 2:43198.7 3:150.283 #179
? 1:465.524 2:12402.7 3:131.408 #180
? 1:426.041 2:23972.1 3:133.674 #181
? 1:527.031 2:10263.9 3:134.182 #182
? 1:3325.96 2:24330.2 3:134.888 #183
? 1:132762000 2:12446.8 3:137.957 #184
? 1:3858.67 2:9712.19 3:155.225 #185
? 1:1637.09 2:12819.4 3:173.533 #186
? 1:696.77 2:8046.69 3:150.702 #187
? 1:517.259 2:5784.61 3:144.599 #188
? 1:586.346 2:5830.28 3:130.434 #189
? 1:589.804 2:13838.8 3:138.6 #190
? 1:551.36 2:36936.1 3:139.405 #191
? 1:897.9 2:61619.2 3:139.312 #192
? 1:3632.47 2:29003.2 3:160.797 #193
? 1:14512.3 2:57878.6 3:166.898 #194
? 1:2411.61 2:52062.6 3:169.744 #195
? 1:2350.91 2:87198.3 3:162.896 #196
? 1:1658.17 2:30780.4 3:154.13 #197
? 1:1467.36 2:19686.5 3:190.57 #198
? 1:1475.06 2:20778.7 3:182.824 #199
? 1:1307.8 2:29400 3:169.275 #200
? 1:1656.56 2:12488.2 3:156.399 #201
? 1:2012.78 2:18580.8 3:151.833 #202
? 1:8787.63 2:11795.8 3:167.174 #203
? 1:10017.9 2:39008.5 3:183.935 #204
? 1:3157.18 2:27086.3 3:287.817 #205
? 1:3260.62 2:26822.5 3:1303.42 #206
? 1:854.806 2:70474.6 3:1233.75 #207
? 1:1122.88 2:201092 3:762.733 #208
? 1:925.96 2:142573 3:376.212 #209
? 1:817.441 2:51898.5 3:255.203 #210
? 1:819.384 2:12264 3:213.282 #211
? 1:2118.8 2:29299.3 3:189.57 #212
? 1:409042 2:27845.2 3:207.435 #213
? 1:104468000 2:10638.3 3:195.122 #214
? 1:109814000 2:11332.5 3:198.075 #215
? 1:107814000 2:4180.79 3:289.458 #216
? 1:107621000 2:3016.05 3:955.774 #217
? 1:114589000 2:5062.53 3:598.102 #218
? 1:579.553 2:6045.75 3:702.231 #219
? 1:347.263 2:4918.36 3:320.83 #220
? 1:559.569 2:4811.43 3:348.363 #221
? 1:6799.85 2:7951.19 3:321.485 #222
