? 1:151 2:81 3:48
? 1:151 2:81 3:51
? 1:151 2:81 3:55
? 1:151 2:79 3:62
? 1:152 2:80 3:50
? 1:151 2:81 3:44
? 1:151 2:82 3:44
? 1:151 2:83 3:44
? 1:150 2:82 3:44
? 1:151 2:82 3:44
? 1:151 2:80 3:44
? 1:151 2:80 3:44
? 1:151 2:82 3:44
? 1:150 2:82 3:44
? 1:151 2:82 3:44
? 1:150 2:83 3:44
? 1:151 2:84 3:44
? 1:151 2:84 3:44
? 1:150 2:83 3:43
? 1:151 2:85 3:44
? 1:150 2:85 3:43
? 1:151 2:85 3:43
? 1:151 2:86 3:43
? 1:150 2:86 3:42
? 1:151 2:87 3:42
? 1:150 2:88 3:42
? 1:151 2:93 3:41
? 1:152 2:98 3:40
? 1:153 2:105 3:38
? 1:152 2:114 3:38
? 1:150 2:122 3:38
? 1:147 2:125 3:37
? 1:142 2:129 3:38
? 1:136 2:136 3:44
? 1:131 2:141 3:53
? 1:125 2:141 3:67
? 1:125 2:137 3:81
? 1:127 2:129 3:98
? 1:126 2:121 3:112
? 1:130 2:121 3:114
? 1:135 2:117 3:105
? 1:137 2:113 3:98
? 1:135 2:110 3:94
? 1:128 2:106 3:94
? 1:121 2:110 3:94
? 1:112 2:112 3:91
? 1:112 2:110 3:87
? 1:109 2:110 3:82
? 1:109 2:109 3:79
? 1:112 2:111 3:80
? 1:119 2:114 3:85
? 1:126 2:112 3:86
? 1:124 2:111 3:84
? 1:120 2:110 3:83
? 1:115 2:109 3:85
? 1:110 2:110 3:85
? 1:101 2:111 3:84
? 1:90 2:110 3:81
? 1:83 2:108 3:80
? 1:83 2:106 3:84
? 1:79 2:106 3:87
? 1:80 2:105 3:91
? 1:78 2:107 3:95
? 1:69 2:104 3:94
? 1:61 2:103 3:95
? 1:55 2:106 3:95
? 1:49 2:109 3:102
? 1:46 2:108 3:103
? 1:43 2:106 3:105
? 1:43 2:104 3:107
? 1:43 2:102 3:109
? 1:44 2:100 3:114
? 1:45 2:95 3:112
? 1:45 2:89 3:109
? 1:46 2:83 3:110
? 1:46 2:82 3:110
? 1:47 2:87 3:124
? 1:49 2:89 3:126
? 1:51 2:90 3:127
? 1:54 2:90 3:123
? 1:54 2:90 3:119
? 1:60 2:93 3:117
? 1:60 2:94 3:114
? 1:61 2:95 3:117
? 1:68 2:96 3:121
? 1:76 2:93 3:121
? 1:84 2:97 3:124
? 1:96 2:99 3:122
? 1:105 2:102 3:119
? 1:101 2:103 3:117
? 1:95 2:97 3:117
? 1:104 2:106 3:120
? 1:105 2:110 3:122
? 1:104 2:116 3:121
? 1:100 2:112 3:111
? 1:98 2:113 3:112
? 1:112 2:124 3:117
? 1:121 2:131 3:123
? 1:122 2:132 3:120
? 1:103 2:122 3:119
? 1:93 2:120 3:118
? 1:111 2:130 3:116
? 1:116 2:135 3:112
? 1:113 2:134 3:107
? 1:109 2:127 3:95
? 1:106 2:126 3:88
? 1:104 2:132 3:95
? 1:109 2:136 3:91
? 1:101 2:135 3:87
? 1:88 2:126 3:86
? 1:80 2:125 3:84
? 1:88 2:131 3:75
? 1:92 2:135 3:68
? 1:90 2:128 3:63
? 1:87 2:112 3:55
? 1:86 2:107 3:52
? 1:87 2:101 3:56
? 1:95 2:101 3:56
? 1:89 2:98 3:56
? 1:71 2:97 3:56
? 1:70 2:98 3:55
? 1:89 2:103 3:53
? 1:102 2:107 3:52
? 1:108 2:99 3:50
? 1:115 2:89 3:46
? 1:116 2:91 3:46
? 1:121 2:94 3:51
? 1:124 2:97 3:54
? 1:116 2:94 3:52
? 1:88 2:97 3:52
? 1:101 2:98 3:52
? 1:127 2:103 3:56
? 1:133 2:107 3:58
? 1:133 2:101 3:56
? 1:133 2:98 3:53
? 1:133 2:102 3:55
? 1:140 2:105 3:62
? 1:141 2:107 3:65
? 1:127 2:99 3:64
? 1:98 2:99 3:63
? 1:110 2:100 3:63
? 1:142 2:101 3:65
? 1:150 2:105 3:72
? 1:148 2:98 3:74
? 1:145 2:95 3:69
? 1:145 2:98 3:75
? 1:151 2:102 3:84
? 1:150 2:107 3:87
? 1:134 2:106 3:85
? 1:106 2:108 3:85
? 1:126 2:113 3:87
? 1:150 2:118 3:85
? 1:151 2:122 3:83
? 1:144 2:113 3:75
? 1:139 2:105 3:67
? 1:136 2:104 3:72
? 1:143 2:105 3:80
? 1:143 2:107 3:83
? 1:127 2:103 3:80
? 1:102 2:100 3:75
? 1:125 2:104 3:79
? 1:152 2:110 3:84
? 1:154 2:112 3:87
? 1:148 2:107 3:81
? 1:144 2:109 3:79
? 1:144 2:115 3:85
? 1:152 2:117 3:88
? 1:148 2:111 3:88
? 1:114 2:102 3:85
? 1:103 2:101 3:82
? 1:117 2:101 3:85
? 1:149 2:105 3:90
? 1:151 2:105 3:93
? 1:142 2:96 3:91
? 1:134 2:93 3:87
? 1:133 2:95 3:97
? 1:142 2:100 3:98
? 1:141 2:102 3:99
? 1:114 2:101 3:92
? 1:97 2:99 3:86
? 1:121 2:106 3:96
? 1:146 2:110 3:101
? 1:150 2:109 3:107
? 1:140 2:99 3:102
? 1:135 2:99 3:94
? 1:136 2:101 3:102
? 1:143 2:102 3:102
? 1:144 2:101 3:99
? 1:119 2:103 3:91
? 1:102 2:99 3:87
? 1:122 2:103 3:86
? 1:147 2:103 3:87
? 1:151 2:100 3:91
? 1:143 2:90 3:91
? 1:138 2:86 3:85
? 1:141 2:89 3:92
? 1:146 2:95 3:94
? 1:144 2:97 3:92
? 1:112 2:94 3:85
? 1:102 2:98 3:84
? 1:135 2:101 3:92
? 1:152 2:100 3:97
? 1:151 2:92 3:100
? 1:141 2:89 3:94
? 1:137 2:90 3:92
? 1:144 2:92 3:88
? 1:143 2:93 3:83
? 1:130 2:85 3:74
? 1:99 2:88 3:70
? 1:101 2:85 3:71
? 1:132 2:86 3:74
? 1:149 2:86 3:78
? 1:140 2:79 3:80
? 1:125 2:73 3:78
? 1:112 2:71 3:90
? 1:106 2:70 3:101
? 1:95 2:74 3:101
? 1:78 2:76 3:94
? 1:76 2:79 3:85
? 1:93 2:90 3:92
? 1:123 2:97 3:95
? 1:155 2:99 3:99
? 1:147 2:92 3:89
? 1:138 2:86 3:83
? 1:143 2:84 3:84
? 1:151 2:81 3:91
? 1:157 2:81 3:90
? 1:122 2:85 3:78
? 1:104 2:86 3:72
? 1:125 2:90 3:75
? 1:162 2:92 3:82
? 1:167 2:92 3:85
? 1:156 2:87 3:79
? 1:148 2:88 3:79
? 1:151 2:93 3:85
? 1:153 2:96 3:88
? 1:147 2:98 3:90
? 1:115 2:96 3:87
? 1:108 2:99 3:88
? 1:134 2:105 3:101
? 1:165 2:111 3:111
? 1:159 2:108 3:115
? 1:146 2:106 3:104
? 1:137 2:106 3:103
? 1:144 2:106 3:110
? 1:143 2:104 3:110
? 1:129 2:100 3:103
? 1:104 2:96 3:92
? 1:107 2:101 3:90
? 1:131 2:105 3:94
? 1:148 2:106 3:106
? 1:143 2:100 3:100
? 1:134 2:95 3:94
? 1:132 2:98 3:101
? 1:140 2:101 3:108
? 1:139 2:102 3:109
? 1:116 2:98 3:107
? 1:97 2:102 3:105
? 1:101 2:102 3:110
? 1:123 2:100 3:121
? 1:136 2:101 3:140
? 1:127 2:96 3:135
? 1:117 2:93 3:136
? 1:115 2:98 3:155
? 1:118 2:103 3:170
? 1:115 2:105 3:170
? 1:88 2:97 3:164
? 1:75 2:98 3:155
? 1:86 2:105 3:151
? 1:106 2:108 3:145
? 1:106 2:109 3:146
? 1:95 2:99 3:129
? 1:91 2:98 3:120
? 1:93 2:99 3:129
? 1:102 2:99 3:132
? 1:100 2:93 3:121
? 1:76 2:91 3:107
? 1:69 2:92 3:95
? 1:85 2:95 3:85
? 1:109 2:98 3:84
? 1:118 2:94 3:91
? 1:112 2:85 3:79
? 1:109 2:85 3:73
? 1:115 2:88 3:82
? 1:123 2:89 3:85
? 1:117 2:85 3:86
? 1:95 2:87 3:84
? 1:91 2:83 3:86
? 1:116 2:85 3:93
? 1:137 2:91 3:99
? 1:141 2:91 3:102
? 1:131 2:90 3:91
? 1:128 2:94 3:91
? 1:139 2:100 3:101
? 1:142 2:104 3:105
? 1:129 2:102 3:102
? 1:102 2:99 3:97
? 1:111 2:105 3:103
? 1:139 2:111 3:107
? 1:153 2:112 3:108
? 1:147 2:106 3:101
? 1:135 2:104 3:86
? 1:132 2:111 3:86
? 1:141 2:112 3:85
? 1:142 2:113 3:82
? 1:117 2:102 3:72
? 1:98 2:100 3:66
? 1:116 2:100 3:68
? 1:143 2:102 3:70
? 1:148 2:100 3:75
? 1:139 2:90 3:75
? 1:131 2:87 3:66
? 1:134 2:87 3:82
? 1:143 2:92 3:89
? 1:146 2:98 3:93
? 1:115 2:100 3:88
? 1:106 2:101 3:87
? 1:133 2:115 3:96
? 1:160 2:128 3:101
? 1:164 2:130 3:102
? 1:154 2:124 3:90
? 1:147 2:127 3:86
? 1:152 2:131 3:96
? 1:155 2:133 3:96
? 1:140 2:125 3:93
? 1:109 2:118 3:87
? 1:109 2:114 3:82
? 1:137 2:113 3:85
? 1:153 2:116 3:90
? 1:150 2:107 3:86
? 1:140 2:105 3:77
? 1:137 2:109 3:80
? 1:146 2:113 3:88
? 1:150 2:115 3:88
? 1:126 2:103 3:83
? 1:98 2:100 3:75
? 1:103 2:103 3:76
? 1:133 2:107 3:79
? 1:159 2:112 3:83
? 1:157 2:103 3:79
? 1:147 2:97 3:69
? 1:145 2:98 3:72
? 1:155 2:99 3:77
? 1:157 2:103 3:79
? 1:140 2:97 3:76
? 1:111 2:97 3:73
? 1:127 2:102 3:78
? 1:156 2:106 3:76
? 1:169 2:110 3:80
? 1:164 2:104 3:76
? 1:156 2:99 3:65
? 1:158 2:107 3:74
? 1:167 2:110 3:79
? 1:163 2:109 3:80
? 1:126 2:103 3:77
? 1:109 2:100 3:73
? 1:138 2:106 3:75
? 1:162 2:111 3:78
? 1:166 2:111 3:79
? 1:157 2:104 3:70
? 1:149 2:103 3:67
? 1:151 2:115 3:78
? 1:158 2:119 3:79
? 1:149 2:113 3:76
? 1:100 2:110 3:74
? 1:86 2:110 3:73
? 1:110 2:118 3:77
? 1:153 2:123 3:78
? 1:158 2:122 3:76
? 1:145 2:111 3:63
? 1:138 2:111 3:61
? 1:139 2:112 3:73
? 1:142 2:114 3:74
? 1:124 2:109 3:70
? 1:94 2:105 3:66
? 1:89 2:102 3:63
? 1:102 2:104 3:63
? 1:132 2:107 3:64
? 1:132 2:100 3:65
? 1:127 2:91 3:61
? 1:123 2:91 3:62
? 1:120 2:97 3:62
? 1:123 2:101 3:60
? 1:106 2:97 3:58
? 1:92 2:99 3:56
? 1:85 2:107 3:61
? 1:103 2:118 3:58
? 1:108 2:118 3:51
? 1:98 2:107 3:45
? 1:91 2:97 3:41
? 1:92 2:99 3:41
? 1:90 2:100 3:40
? 1:91 2:94 3:38
? 1:91 2:93 3:37
? 1:80 2:94 3:36
? 1:90 2:106 3:45
? 1:123 2:111 3:59
? 1:147 2:117 3:64
? 1:156 2:111 3:64
? 1:153 2:106 3:69
? 1:158 2:113 3:74
? 1:166 2:108 3:75
? 1:183 2:98 3:75
? 1:193 2:95 3:70
? 1:177 2:87 3:66
? 1:193 2:83 3:70
? 1:201 2:80 3:71
? 1:204 2:76 3:73
? 1:185 2:71 3:71
? 1:162 2:66 3:68
? 1:160 2:70 3:66
? 1:133 2:67 3:63
? 1:118 2:67 3:61
? 1:109 2:69 3:60
? 1:100 2:70 3:62
? 1:110 2:80 3:68
? 1:124 2:86 3:72
? 1:123 2:82 3:72
? 1:121 2:74 3:72
? 1:121 2:70 3:70
? 1:118 2:70 3:70
? 1:108 2:67 3:68
? 1:94 2:67 3:65
? 1:78 2:64 3:65
? 1:77 2:59 3:67
? 1:77 2:63 3:70
? 1:86 2:66 3:71
? 1:82 2:70 3:74
? 1:80 2:73 3:70
? 1:77 2:75 3:70
? 1:80 2:81 3:85
? 1:87 2:86 3:85
? 1:96 2:92 3:86
? 1:100 2:96 3:86
? 1:97 2:100 3:87
? 1:112 2:112 3:91
? 1:119 2:119 3:92
? 1:119 2:124 3:92
? 1:121 2:124 3:90
? 1:123 2:121 3:84
? 1:127 2:128 3:95
? 1:125 2:128 3:91
? 1:121 2:127 3:86
? 1:106 2:123 3:80
? 1:96 2:117 3:78
? 1:100 2:124 3:79
? 1:112 2:127 3:79
? 1:109 2:127 3:76
? 1:109 2:123 3:78
? 1:108 2:122 3:75
? 1:108 2:129 3:74
? 1:108 2:129 3:72
? 1:107 2:129 3:71
? 1:97 2:128 3:67
? 1:95 2:125 3:64
? 1:97 2:128 3:66
? 1:102 2:128 3:65
? 1:99 2:124 3:63
? 1:99 2:121 3:62
? 1:98 2:119 3:60
? 1:96 2:122 3:58
? 1:94 2:124 3:58
? 1:94 2:124 3:59
? 1:85 2:118 3:61
? 1:79 2:112 3:68
? 1:84 2:111 3:79
? 1:95 2:112 3:87
? 1:95 2:112 3:84
? 1:102 2:110 3:90
? 1:110 2:115 3:93
? 1:115 2:122 3:98
? 1:116 2:128 3:94
? 1:105 2:132 3:88
? 1:90 2:124 3:83
? 1:86 2:120 3:86
? 1:94 2:127 3:95
? 1:103 2:127 3:97
? 1:101 2:127 3:94
? 1:102 2:122 3:91
? 1:104 2:124 3:92
? 1:103 2:127 3:97
? 1:100 2:124 3:93
? 1:95 2:125 3:91
? 1:82 2:121 3:93
? 1:77 2:123 3:96
? 1:81 2:127 3:94
? 1:94 2:125 3:89
? 1:91 2:121 3:85
? 1:92 2:117 3:79
? 1:92 2:117 3:78
? 1:86 2:114 3:81
? 1:79 2:109 3:77
? 1:72 2:105 3:75
? 1:65 2:99 3:76
? 1:64 2:96 3:77
? 1:63 2:92 3:71
? 1:64 2:87 3:66
? 1:62 2:84 3:62
? 1:62 2:81 3:58
? 1:61 2:79 3:58
? 1:58 2:75 3:57
? 1:60 2:78 3:58
? 1:63 2:81 3:59
? 1:65 2:83 3:60
? 1:67 2:84 3:61
? 1:67 2:85 3:63
? 1:65 2:86 3:64
? 1:65 2:87 3:64
? 1:69 2:88 3:67
? 1:72 2:89 3:65
? 1:73 2:92 3:68
? 1:74 2:93 3:68
? 1:72 2:94 3:68
? 1:66 2:94 3:69
? 1:66 2:96 3:71
? 1:71 2:98 3:72
? 1:80 2:100 3:73
? 1:81 2:100 3:74
? 1:83 2:99 3:72
? 1:86 2:100 3:71
? 1:86 2:102 3:77
? 1:86 2:102 3:79
? 1:84 2:102 3:79
? 1:78 2:102 3:81
? 1:79 2:104 3:82
? 1:87 2:108 3:83
? 1:93 2:111 3:85
? 1:96 2:111 3:85
? 1:100 2:111 3:81
? 1:103 2:114 3:83
? 1:105 2:116 3:91
? 1:108 2:118 3:92
? 1:103 2:118 3:93
? 1:93 2:118 3:95
? 1:99 2:120 3:97
? 1:111 2:124 3:99
? 1:116 2:126 3:100
? 1:116 2:124 3:100
? 1:116 2:122 3:95
? 1:117 2:124 3:98
? 1:118 2:124 3:101
? 1:117 2:125 3:100
? 1:101 2:123 3:97
? 1:90 2:125 3:98
? 1:102 2:131 3:101
? 1:117 2:135 3:104
? 1:120 2:135 3:106
? 1:120 2:132 3:104
? 1:122 2:130 3:98
? 1:122 2:134 3:107
? 1:122 2:135 3:110
? 1:120 2:135 3:110
? 1:100 2:131 3:110
? 1:92 2:129 3:111
? 1:100 2:132 3:115
? 1:117 2:135 3:119
? 1:119 2:136 3:121
? 1:118 2:134 3:121
? 1:119 2:131 3:118
? 1:119 2:135 3:128
? 1:114 2:134 3:129
? 1:111 2:133 3:127
? 1:93 2:125 3:124
? 1:82 2:120 3:126
? 1:87 2:122 3:127
