file;h;s;v;groen?
data/gras1.JPG @ 0;42.08;864.917;109.354;groen
data/gras2.JPG @ 0;467.507;812.588;966.689;groen
data/gras3.JPG @ 0;351.578;76.374;134.002;groen
data/gras4.JPG @ 0;348.699;543.709;147.228;groen
data/gras5.JPG @ 0;421.356;746.249;138.775;groen
data/gras6.JPG @ 0;45.1746;93.6334;104.952;groen
data/gras7.JPG @ 0;40.4601;62.252;125.764;groen
data/gras9.JPG @ 0;42.3656;63.6815;89.9464;groen
data/gras8.JPG @ 0;45.887;61.3466;82.1211;groen
data/gras10.JPG @ 0;47.2872;67.3574;96.5654;groen
data/gras11.JPG @ 0;46.5687;63.0668;92.3714;groen
data/gras12.JPG @ 0;37.189;50.1103;162.599;groen
data/nietgroen13.JPG @ 0;69.2292;11.706;149.679;nietgroen
data/nietgroen12.JPG @ 0;109.504;31.6226;128.1;nietgroen
data/nietgroen11.JPG @ 0;132.215;5.99695;150.743;nietgroen
data/nietgroen10.JPG @ 0;126.317;9.6898;170.65;nietgroen
data/nietgroen9.JPG @ 0;139.205;28.7202;64.5986;nietgroen
data/nietgroen8.JPG @ 0;105.183;65.7515;146.04;nietgroen
data/nietgroen7.JPG @ 0;112.625;22.6102;151.855;nietgroen
data/nietgroen7.JPG @ 0;112.625;22.6102;151.855;nietgroen
data/nietgroen6.JPG @ 0;113.366;30.8872;160.174;nietgroen
data/nietgroen5.JPG @ 0;52.7199;10.1314;190.069;nietgroen
data/nietgroen4.JPG @ 0;113.717;34.1019;118.822;nietgroen
data/nietgroen3.JPG @ 0;23.856;42.3035;126.487;nietgroen
data/nietgroen2.JPG @ 0;43.1754;30.5484;125.66;nietgroen
data/nietgroen1.JPG @ 0;135.985;8.87984;161.206;nietgroen
data/nietgroen3.JPG @ 0;23.856;42.3035;126.487;nietgroen
